Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
English	ENGL 21B,FUCHS C A	ENGL 21B	FUCHS C A	1	5	6		25
English	ENGL 21B,YUDELL J	ENGL 21B	YUDELL J	3	4	7		27
English	ENGL 21B,KAUFFMAN S R	ENGL 21B	KAUFFMAN S R	2	7	7		28
English	ENGL 21B,COHEN S S	ENGL 21B	COHEN S S	1	6	7		25
English	ENGL 21B,POSSEMATO F	ENGL 21B	POSSEMATO F	10	10	2		26
English	ENGL 21B,SANDSTROM J L	ENGL 21B	SANDSTROM J L	2	5	3		26
English	ENGL 21B,BLACKWELL N	ENGL 21B	BLACKWELL N	5	4	6		19
English	ENGL 21B,ROSALES C M	ENGL 21B	ROSALES C M	1	7	2		25
English	ENGL 21B,LEMON W R	ENGL 21B	LEMON W R	9	7	3		27
English	ENGL 21B,FUCHS C A	ENGL 21B	FUCHS C A	1	7	10		25
English	ENGL 21B,MISAGHI A M	ENGL 21B	MISAGHI A M	1	12	7		25
English	ENGL 21B,HAMADA M J	ENGL 21B	HAMADA M J	8	12	3		27
English	ENGL 21B,COHEN S S	ENGL 21B	COHEN S S	2	14	6		25
English	ENGL 21B,HAMADA M J	ENGL 21B	HAMADA M J	3	10	3		24
English	ENGL 21B,CANO D R	ENGL 21B	CANO D R	1	3	6		26
English	ENGL 21B,SANDOVAL A	ENGL 21B	SANDOVAL A	1	12	10		30
English	ENGL 21B,HELLER G R	ENGL 21B	HELLER G R	3	3	2		24
English	ENGL 21B,KAUFFMAN S R	ENGL 21B	KAUFFMAN S R	5	11	7		30
English	ENGL 21B,DIXON M J	ENGL 21B	DIXON M J	4	7	7		32
English	ENGL 21B,FUCHS C A	ENGL 21B	FUCHS C A	8	13			25
English	ENGL 21B,MATTHEWS M N	ENGL 21B	MATTHEWS M N	4	7	9		25
English	ENGL 21B,NELSON LAUNA A	ENGL 21B	NELSON LAUNA A	4	10	4		25
English	ENGL 21B,DOUCET W J	ENGL 21B	DOUCET W J	7	10	12	1	38
English	ENGL 21B,CANO D R	ENGL 21B	CANO D R	2	3	9		26
English	ENGL 21B,MISAGHI A M	ENGL 21B	MISAGHI A M	2	7	8		26
English	ENGL 21B,YOUNG R U	ENGL 21B	YOUNG R U	13	9	1		26
English	ENGL 21B,TURNER K E	ENGL 21B	TURNER K E	7	6	5		24
English	ENGL 21B,MATTHEWS M N	ENGL 21B	MATTHEWS M N	3	5	8		28
English	ENGL 21B,DOUCET W J	ENGL 21B	DOUCET W J	5	9	8		32
English	ENGL 21B,CANO D R	ENGL 21B	CANO D R	1	6	17		36
English	ENGL 21B,CONSTANTIN G N	ENGL 21B	CONSTANTIN G N	7	12	3		26
English	ENGL 21B,LOZADA C H	ENGL 21B	LOZADA C H	2	6	6		25
English	ENGL 21B,ROSALES C M	ENGL 21B	ROSALES C M	2	6	2		25
English	ENGL 21B,VISHWANADHA H	ENGL 21B	VISHWANADHA H	1	5	2		29
English	ENGL 21B,YUDELL J	ENGL 21B	YUDELL J	2	4	8		27
English	ENGL 21B,DURAN A	ENGL 21B	DURAN A	1	8	6		26
English	ENGL 21B,GRIFFY W J	ENGL 21B	GRIFFY W J	1	9	4		27
English	ENGL 21B,LOZADA C H	ENGL 21B	LOZADA C H	3	8	4	1	25
English	ENGL 21B,ROSALES C M	ENGL 21B	ROSALES C M	1	1	5		19
English	ENGL 21B,PHILLIPS L K	ENGL 21B	PHILLIPS L K	5	8	4		24
English	ENGL 21B,SURENDRANATH L C	ENGL 21B	SURENDRANATH L C	6	5	4		24
English	ENGL 22,ROBERTS P S	ENGL 22	ROBERTS P S	9	3		1	22
English	ENGL 23,SANDSTROM J L	ENGL 23	SANDSTROM J L	5	5	2		23
English	ENGL 23,HARTMAN M	ENGL 23	HARTMAN M	6	6	3		20
English	ENGL 30A,PADILLA M R	ENGL 30A	PADILLA M R	13	2	4		26
English	ENGL 30A,MEEKS C	ENGL 30A	MEEKS C	9	5	9		26
English	ENGL 30A,DAVIS C V	ENGL 30A	DAVIS C V	7	7	2		23
English	ENGL 30A,KRUSOE J A	ENGL 30A	KRUSOE J A	24				35
English	ENGL 30A,PADILLA M R	ENGL 30A	PADILLA M R	13	2		1	17
English	ENGL 30B,PADILLA M R	ENGL 30B	PADILLA M R	13	1			15
English	ENGL 30B,MEEKS C	ENGL 30B	MEEKS C	1	1			4
English	ENGL 30B,DAVIS C V	ENGL 30B	DAVIS C V	2	1		1	4
English	ENGL 30B,PADILLA M R	ENGL 30B	PADILLA M R	8				8
English	ENGL 30B,KRUSOE J A	ENGL 30B	KRUSOE J A	16				19
English	ENGL 34,DOUCET W J	ENGL 34	DOUCET W J	8	7	1		25
English	ENGL 39,BORETZ M S	ENGL 39	BORETZ M S	13	4	1		24
English	ENGL 40,VISHWANADHA H	ENGL 40	VISHWANADHA H	1	3	3		17
English	ENGL 48,STEEBER S J	ENGL 48	STEEBER S J	3	6	1		22
English	ENGL 50,DOTEN D G	ENGL 50	DOTEN D G	4	3	4		25
English	ENGL 51,REMMES J	ENGL 51	REMMES J	1				2
English	ENGL 52,DEL GEORGE D K	ENGL 52	DEL GEORGE D K	10		1		15
English	ENGL 57,PADILLA M R	ENGL 57	PADILLA M R	12				19
English	ENGL 80,SHAPIRO E P 	ENGL 80	SHAPIRO E P 				1	19
English	ENGL 84R,HARTMAN M 	ENGL 84R	HARTMAN M 				3	18
English	ENGL 84W,YUDELL J 	ENGL 84W	YUDELL J 				8	23
English	ENGL 85,CAMPBELL L A 	ENGL 85	CAMPBELL L A 					25
English	ENGL 85,JAMES K R 	ENGL 85	JAMES K R 				12	27
English	ENGL 85,WEATHERFORD K C 	ENGL 85	WEATHERFORD K C 				7	25
English	ENGL 85,WRIGHT N E 	ENGL 85	WRIGHT N E 				4	21
English	ENGL 85,DAVISON IV G S	ENGL 85	DAVISON IV G S				5	26
English	ENGL 85,DAVISON IV G S	ENGL 85	DAVISON IV G S				6	24
English	ENGL 85,JAMES K R 	ENGL 85	JAMES K R 				5	24
English	ENGL 85,HIOUREAS E C 	ENGL 85	HIOUREAS E C 				10	25
English	ENGL 85,KLEMP R M 	ENGL 85	KLEMP R M 				3	22
English	ENGL 85,O'HARA D M 	ENGL 85	O'HARA D M 				9	21
English	ENGL 85,MAVROMATI A C 	ENGL 85	MAVROMATI A C 				9	26
English	ENGL 85,MARKARIAN E A 	ENGL 85	MARKARIAN E A 				2	24
English	ENGL 85,GARCIA M S 	ENGL 85	GARCIA M S 				9	26
English	ENGL 85,WEATHERFORD K C 	ENGL 85	WEATHERFORD K C 				9	28
English	ENGL 85,HIOUREAS E C 	ENGL 85	HIOUREAS E C 				10	23
English	ENGL 85,HIOUREAS E C 	ENGL 85	HIOUREAS E C 				3	17
English	ENGL 85,JAMES K R 	ENGL 85	JAMES K R 				8	20
English	ENGL 85,SHAPIRO E P 	ENGL 85	SHAPIRO E P 				4	24
English	ENGL 85,KRUG J M 	ENGL 85	KRUG J M 				5	25
English	ENGL 85,EBERLE B M 	ENGL 85	EBERLE B M 				5	21
English	ENGL 85,SHAPIRO E P 	ENGL 85	SHAPIRO E P 				7	21
English	HUM 88B,STERR S D	HUM 88B	STERR S D	2				2
English	HUM 88C,STERR S D	HUM 88C	STERR S D	1				1
English	REL ST 51,REMMES J	REL ST 51	REMMES J	3	15	4		27
English	REL ST 52,DEL GEORGE D K	REL ST 52	DEL GEORGE D K	10	7			18
ESL	ESL 10G,STIVENER M	ESL 10G	STIVENER M	2	7	5		22
ESL	ESL 10G,HOOVER J	ESL 10G	HOOVER J	1	5	4		25
ESL	ESL 10G,ELLIS T L	ESL 10G	ELLIS T L	5	6	4	1	26
ESL	ESL 10G,STENOS M S	ESL 10G	STENOS M S	2	8	3		25
ESL	ESL 10W,KIM E	ESL 10W	KIM E	1	7	3		24
ESL	ESL 10W,HARCLERODE J E	ESL 10W	HARCLERODE J E	2	7	11		26
ESL	ESL 10W,SPECTOR A L	ESL 10W	SPECTOR A L	2	7	8	1	26
ESL	ESL 10W,KUNIMOTO T A	ESL 10W	KUNIMOTO T A	1	10	6		23
ESL	ESL 11A,LODMER E L	ESL 11A	LODMER E L	1	9	6		26
ESL	ESL 11A,MARASCO J A 	ESL 11A	MARASCO J A 	3	16	4	1	27
ESL	ESL 11A,NIGHTINGALE M D 	ESL 11A	NIGHTINGALE M D 	2	10	8	2	25
ESL	ESL 11A,JAFFE S R 	ESL 11A	JAFFE S R 	5	10	10	1	29
ESL	ESL 11A,KAHN A B 	ESL 11A	KAHN A B 	4	16	2	2	25
ESL	ESL 11A,WOLFE R A 	ESL 11A	WOLFE R A 	4	11	4		24
ESL	ESL 11A,GRAZIADEI K N	ESL 11A	GRAZIADEI K N	1	3	8		26
ESL	ESL 11A,HAHN CH S 	ESL 11A	HAHN CH S 	3	15	5		24
ESL	ESL 11A,HOROWITZ R S 	ESL 11A	HOROWITZ R S 	2	10	7	2	24
ESL	ESL 11A,CERQUEIRA B L	ESL 11A	CERQUEIRA B L	1	2	10		24
ESL	ESL 11B,NIGHTINGALE M D 	ESL 11B	NIGHTINGALE M D 		2	3	5	21
ESL	ESL 11B,KAHN A B 	ESL 11B	KAHN A B 	2	7	3	1	25
ESL	ESL 11B,MARASCO J A 	ESL 11B	MARASCO J A 		7	2		25
ESL	ESL 11B,KOENIG GOLOMBEK L K 	ESL 11B	KOENIG GOLOMBEK L K 	2	3	4	4	25
ESL	ESL 11B,LEVITT D J	ESL 11B	LEVITT D J	1		6	1	24
ESL	ESL 11B,KOENIG GOLOMBEK L K	ESL 11B	KOENIG GOLOMBEK L K	1	2	2	6	25
ESL	ESL 11B,HAHN CH S 	ESL 11B	HAHN CH S 		9	4		25
ESL	ESL 11B,WHITE S D 	ESL 11B	WHITE S D 	1	3	2	3	13
ESL	ESL 11B,CERQUEIRA B L 	ESL 11B	CERQUEIRA B L 		6	5	5	25
ESL	ESL 14A,MARASCO J A	ESL 14A	MARASCO J A	7	14	1	1	27
ESL	ESL 14B,MARASCO J A	ESL 14B	MARASCO J A	5	16	3		34
ESL	ESL 14B,SPECTOR A L	ESL 14B	SPECTOR A L	10	3	4		22
ESL	ESL 15,TUDMAN K L	ESL 15	TUDMAN K L	10	7	8	1	33
ESL	ESL 15,ELLIS T L	ESL 15	ELLIS T L	12	14	5		32
ESL	ESL 16A,NIGHTINGALE M D	ESL 16A	NIGHTINGALE M D	3	5	2		17
ESL	ESL 16B,TUDMAN K L	ESL 16B	TUDMAN K L	10	13	8		39
ESL	ESL 16B,NIGHTINGALE M D	ESL 16B	NIGHTINGALE M D	3	4	6		31
ESL	ESL 16C,TUDMAN K L	ESL 16C	TUDMAN K L	3	13	12	1	38
ESL	ESL 16C,NIGHTINGALE M D	ESL 16C	NIGHTINGALE M D	2	6	4		25
ESL	ESL 17,STIVENER M	ESL 17	STIVENER M	6	5	6		28
ESL	ESL 20A,ELLIS T L	ESL 20A	ELLIS T L	8	10	9	3	35
ESL	ESL 20A,RANDALL T R 	ESL 20A	RANDALL T R 	6	7	3	6	24
ESL	ESL 20B,HARCLERODE J E	ESL 20B	HARCLERODE J E	14	9	3		26
ESL	ESL 20B,HARCLERODE J E	ESL 20B	HARCLERODE J E	8	12	3		28
ESL	ESL 21A,IBARAKI A T 	ESL 21A	IBARAKI A T 		2	1	5	24
ESL	ESL 21A,LEVITT D J	ESL 21A	LEVITT D J	2	2	3	4	25
ESL	ESL 21A,BOSTWICK L H 	ESL 21A	BOSTWICK L H 		5			23
ESL	ESL 21A,LEVEQUE V F 	ESL 21A	LEVEQUE V F 		7	7	5	27
ESL	ESL 21A,KIM E 	ESL 21A	KIM E 		2	2	4	23
ESL	ESL 21A,KOENIG GOLOMBEK L K 	ESL 21A	KOENIG GOLOMBEK L K 	2	5	2	5	34
ESL	ESL 21A,YENSER S J 	ESL 21A	YENSER S J 		3	3	1	25
ESL	ESL 21A,WOLFE R A 	ESL 21A	WOLFE R A 	1	3	4	2	24
ESL	ESL 21A,ASHLEIGH S B 	ESL 21A	ASHLEIGH S B 	4	3	2	1	21
ESL	ESL 21A,JO C J 	ESL 21A	JO C J 		5	3	1	24
ESL	ESL 21A,GRAZIADEI K N	ESL 21A	GRAZIADEI K N	1	1	4	5	37
ESL	ESL 21A,YENSER S J	ESL 21A	YENSER S J	2	2	7	6	25
ESL	ESL 21A,JO C J 	ESL 21A	JO C J 	2	3	4	1	24
ESL	ESL 21A,SILVER J L 	ESL 21A	SILVER J L 	1	2	1	5	25
ESL	ESL 21A,LEVEQUE V F 	ESL 21A	LEVEQUE V F 	1	7	7	1	24
ESL	ESL 21A,YENSER S J 	ESL 21A	YENSER S J 	3	3	3		25
ESL	ESL 21A,CAFFEE N B 	ESL 21A	CAFFEE N B 		3	4		25
ESL	ESL 21A,CAFFEE N B 	ESL 21A	CAFFEE N B 		2	2	1	24
ESL	ESL 21A,WALKER D D 	ESL 21A	WALKER D D 	5	2	3	1	23
ESL	ESL 21A,STENOS M S 	ESL 21A	STENOS M S 		2	3	2	24
ESL	ESL 21A,LEVITT D J	ESL 21A	LEVITT D J	1	3	8	3	24
ESL	ESL 21A,CAFFEE N B 	ESL 21A	CAFFEE N B 	6	3	1	4	23
ESL	ESL 21A,JORDAN S	ESL 21A	JORDAN S	2	3	2	8	24
ESL	ESL 21B,ASHLEIGH S B	ESL 21B	ASHLEIGH S B	1	5	1	10	23
ESL	ESL 21B,LODMER E L	ESL 21B	LODMER E L	2	3	2	13	34
ESL	ESL 21B,JAFFE S R	ESL 21B	JAFFE S R	1	3	5	11	39
ESL	ESL 21B,HOOVER J	ESL 21B	HOOVER J	1	5	3	8	24
ESL	ESL 21B,JAFFE S R	ESL 21B	JAFFE S R	1	1	1	19	35
ESL	ESL 21B,LODMER E L	ESL 21B	LODMER E L	2	6	3	13	34
ESL	ESL 21B,KOENIG GOLOMBEK L K 	ESL 21B	KOENIG GOLOMBEK L K 	4		1	1	33
ESL	ESL 21B,HOOVER J	ESL 21B	HOOVER J	2	7	3	8	32
ESL	ESL 21B,HOOVER J	ESL 21B	HOOVER J	1	6		10	20
ESL	ESL 21B,GILL A M 	ESL 21B	GILL A M 	2			3	24
ESL	ESL 21B,GILL A M	ESL 21B	GILL A M	2	2	1	3	25
ESL	ESL 21B,SILVER J L 	ESL 21B	SILVER J L 	2	1			25
ESL	ESL 21B,JO C J 	ESL 21B	JO C J 	2		1		22
ESL	ESL 21B,TRACEY M P	ESL 21B	TRACEY M P	1	1		19	25
ESL	ESL 21B,TRACEY M P	ESL 21B	TRACEY M P	2	1	1	12	25
ESL	ESL 21B,TRACEY M P	ESL 21B	TRACEY M P	1	3	1	12	24
ESL	ESL 23,HOROWITZ R S	ESL 23	HOROWITZ R S	6	6	4		20
ESL	ESL 23,GRAZIADEI K N	ESL 23	GRAZIADEI K N	4	4	4		16
ESL	ESL 25,TUDMAN K L	ESL 25	TUDMAN K L	3	9			17
ESL	ESL 28,IBARAKI A T	ESL 28	IBARAKI A T	6	9	2	2	27
ESL	ESL 28,RANDALL T R	ESL 28	RANDALL T R	1	4	2		17
Health Science	HEALTH 61,REES D M	HEALTH 61	REES D M	16	6	6	1	43
Health Science	NURSNG 10,THIERCOF H A	NURSNG 10	THIERCOF H A	13	27			40
Health Science	NURSNG 10,THIERCOF H A 	NURSNG 10	THIERCOF H A 					10
Health Science	NURSNG 10,SHORT A D 	NURSNG 10	SHORT A D 					10
Health Science	NURSNG 10,THIERCOF H A 	NURSNG 10	THIERCOF H A 					10
Health Science	NURSNG 10,SHORT A D 	NURSNG 10	SHORT A D 					10
Health Science	NURSNG 15,THIERCOF H A	NURSNG 15	THIERCOF H A	8	28	1		40
Health Science	NURSNG 15,SHORT A D 	NURSNG 15	SHORT A D 					10
Health Science	NURSNG 15,SHORT A D 	NURSNG 15	SHORT A D 				1	10
Health Science	NURSNG 15,SHORT A D 	NURSNG 15	SHORT A D 					10
Health Science	NURSNG 15,SHORT A D 	NURSNG 15	SHORT A D 				9	10
Health Science	NURSNG 16,WILLIAMS E J 	NURSNG 16	WILLIAMS E J 					13
Health Science	NURSNG 17,FRIEDMAN M H	NURSNG 17	FRIEDMAN M H	2	11	5		40
Health Science	NURSNG 17,FRIEDMAN M H	NURSNG 17	FRIEDMAN M H	2	6	3		22
Health Science	NURSNG 17,FRIEDMAN M H	NURSNG 17	FRIEDMAN M H	3	5	7		28
Health Science	NURSNG 20,ANGEL V M	NURSNG 20	ANGEL V M	2	7	19		40
Health Science	NURSNG 20,ANGEL V M 	NURSNG 20	ANGEL V M 				9	10
Health Science	NURSNG 20,SOSHNIK R M 	NURSNG 20	SOSHNIK R M 				8	10
Health Science	NURSNG 20,PENAFLORIDA D D 	NURSNG 20	PENAFLORIDA D D 				6	10
Health Science	NURSNG 20,MAYORGA A 	NURSNG 20	MAYORGA A 				5	10
Health Science	NURSNG 25,FARBER G C	NURSNG 25	FARBER G C	13	15			32
Health Science	NURSNG 25,WISE J K 	NURSNG 25	WISE J K 				9	9
Health Science	NURSNG 25,FARBER G C 	NURSNG 25	FARBER G C 				9	9
Health Science	NURSNG 25,RISINGER L A 	NURSNG 25	RISINGER L A 				5	5
Health Science	NURSNG 25,FARBER G C 	NURSNG 25	FARBER G C 				5	5
Health Science	NURSNG 28,MCDONALD J M	NURSNG 28	MCDONALD J M	1	25	2		28
Health Science	NURSNG 30,WILLIAMS E J 	NURSNG 30	WILLIAMS E J 	12	24	4		40
Health Science	NURSNG 30,WILLIAMS E J 	NURSNG 30	WILLIAMS E J 				9	10
Health Science	NURSNG 30,ISLAS V I 	NURSNG 30	ISLAS V I 					10
Health Science	NURSNG 30,LEE A K 	NURSNG 30	LEE A K 					10
Health Science	NURSNG 30,STOVALL K 	NURSNG 30	STOVALL K 				7	10
Health Science	NURSNG 35,ABERBOOK V A	NURSNG 35	ABERBOOK V A	1	8	21		36
Health Science	NURSNG 35,ANGEL V M 	NURSNG 35	ANGEL V M 				8	10
Health Science	NURSNG 35,ABERBOOK V A 	NURSNG 35	ABERBOOK V A 				8	10
Health Science	NURSNG 35,MCDONALD J M 	NURSNG 35	MCDONALD J M 				3	5
Health Science	NURSNG 35,BREGMAN M A 	NURSNG 35	BREGMAN M A 					11
Health Science	NURSNG 36,LOPEZ G M	NURSNG 36	LOPEZ G M	3	3	5		19
Health Science	NURSNG 36,LOPEZ G M	NURSNG 36	LOPEZ G M	9	7	3		29
Health Science	NURSNG 40,ADLER E	NURSNG 40	ADLER E	5	8			13
Health Science	NURSNG 40,ADLER E	NURSNG 40	ADLER E	2	5			7
Health Science	NURSNG 40,ESTRELLA D J 	NURSNG 40	ESTRELLA D J 				6	6
Health Science	NURSNG 40,ADLER E 	NURSNG 40	ADLER E 					7
Health Science	NURSNG 40,WISE J K 	NURSNG 40	WISE J K 					7
Health Science	NURSNG 45,ABERBOOK V A	NURSNG 45	ABERBOOK V A	8	5			14
Health Science	NURSNG 45,MCCASKILL C J	NURSNG 45	MCCASKILL C J	5	2			7
Health Science	NURSNG 45,SMITH D L 	NURSNG 45	SMITH D L 					7
Health Science	NURSNG 45,ABERBOOK V A 	NURSNG 45	ABERBOOK V A 					7
Health Science	NURSNG 45,ABERBOOK V A 	NURSNG 45	ABERBOOK V A 					6
Health Science	NURSNG 50,WILLIAMS E J	NURSNG 50	WILLIAMS E J	3	11	8		22
Health Science	NURSNG 50,WILLIAMS E J 	NURSNG 50	WILLIAMS E J 					12
Health Science	NURSNG 50,DULI L R 	NURSNG 50	DULI L R 					10
Health Science	RES TH 1,SANTANA S A	RES TH 1	SANTANA S A	8	8	4		30
Health Science	RES TH 30,WELCH M A	RES TH 30	WELCH M A	10	5	1		18
Health Science	RES TH 70,SANTANA S A	RES TH 70	SANTANA S A	2	11	4		20
History	ENVRN 32,STEIGER E J	ENVRN 32	STEIGER E J	2	4	4		23
History	HIST 1,BYRNE D	HIST 1	BYRNE D	9	11	13		46
History	HIST 1,FOGLEMAN A M	HIST 1	FOGLEMAN A M	8	11	2		24
History	HIST 1,CLAYBORNE D	HIST 1	CLAYBORNE D	8	12	10		51
History	HIST 1,BENNETT H M	HIST 1	BENNETT H M	9	10	4		42
History	HIST 1,STILES C L	HIST 1	STILES C L	26	20	14	8	80
History	HIST 1,BYRNE D	HIST 1	BYRNE D	11	11	5	1	41
History	HIST 1,STILES C L	HIST 1	STILES C L	20	26	10		79
History	HIST 2,KERZE M	HIST 2	KERZE M	6	8	8	1	42
History	HIST 2,FRISCH D C W	HIST 2	FRISCH D C W	3	6	7		37
History	HIST 2,KENT M L	HIST 2	KENT M L	8	17	6		41
History	HIST 2,MANOFF R J	HIST 2	MANOFF R J	19	14	6		48
History	HIST 2,KENT M L	HIST 2	KENT M L	14	15	3	2	39
History	HIST 2,VERLET M C	HIST 2	VERLET M C	3	8	3		31
History	HIST 2,VERLET M C	HIST 2	VERLET M C	1	5	9		29
History	HIST 2,VERLET M C	HIST 2	VERLET M C	1	6	5	1	25
History	HIST 2,RASMUSSEN K A	HIST 2	RASMUSSEN K A	3	10	9		41
History	HIST 3,STILES C L	HIST 3	STILES C L	36	7	3		49
History	HIST 4,STILES C L	HIST 4	STILES C L	31	4	4	1	43
History	HIST 5,MOSTKOFF A	HIST 5	MOSTKOFF A	25	9	5		50
History	HIST 5,MOSTKOFF A	HIST 5	MOSTKOFF A	13	9	10		42
History	HIST 6,MOSTKOFF A	HIST 6	MOSTKOFF A	18	8	7		48
History	HIST 6,MOSTKOFF A	HIST 6	MOSTKOFF A	26	10			45
History	HIST 10,KAWAGUCHI L A 	HIST 10	KAWAGUCHI L A 	5	6	3	25	43
History	HIST 10,SAAVEDRA Y	HIST 10	SAAVEDRA Y	13	8	7	4	47
History	HIST 10,KAWAGUCHI L A	HIST 10	KAWAGUCHI L A	1	6	13		48
History	HIST 10,RUIZ R	HIST 10	RUIZ R	37	17			63
History	HIST 10,SAAVEDRA Y	HIST 10	SAAVEDRA Y	9	18	2		43
History	HIST 10,CRUZ J S	HIST 10	CRUZ J S	18	7	4	3	45
History	HIST 10,KAWAGUCHI L A	HIST 10	KAWAGUCHI L A	3	3	8		32
History	HIST 11,STEIGER E J	HIST 11	STEIGER E J	6	12	12		45
History	HIST 11,KEVILLE T J	HIST 11	KEVILLE T J	24	11	11		49
History	HIST 11,SAAVEDRA Y	HIST 11	SAAVEDRA Y	5	12	9		49
History	HIST 11,WILKINSON JR E C	HIST 11	WILKINSON JR E C	21	8	2		50
History	HIST 11,VANBENSCHOTEN W D	HIST 11	VANBENSCHOTEN W D	6	12	11	1	48
History	HIST 11,CRUZ J S	HIST 11	CRUZ J S	9	9	6		42
History	HIST 11,WILKINSON JR E C	HIST 11	WILKINSON JR E C	20	11	1	1	41
History	HIST 11,KEVILLE T J	HIST 11	KEVILLE T J	25	10	3	2	51
History	HIST 11,NIELSEN C S	HIST 11	NIELSEN C S	13	4	2	1	35
History	HIST 11,SLAUGHTER M A	HIST 11	SLAUGHTER M A	10	16	8		46
History	HIST 12,CHI J S	HIST 12	CHI J S	12		9		41
History	HIST 12,NIELSEN C S	HIST 12	NIELSEN C S	5	10	8	3	44
History	HIST 12,BORGHEI S C	HIST 12	BORGHEI S C	6	16	8		48
History	HIST 12,KEVILLE T J	HIST 12	KEVILLE T J	33	5	6		49
History	HIST 12,CHI J S	HIST 12	CHI J S	4	17	8		45
History	HIST 12,CHI J S	HIST 12	CHI J S	1	13	8		38
History	HIST 12,GANTNER D C	HIST 12	GANTNER D C	26				27
History	HIST 12,SLAUGHTER M A	HIST 12	SLAUGHTER M A	8	15	5		41
History	HIST 12,VANBENSCHOTEN W D	HIST 12	VANBENSCHOTEN W D	6	11	5	4	37
History	HIST 12,BOLELLI D	HIST 12	BOLELLI D	10	17	12		48
History	HIST 13,BORGHEI S C	HIST 13	BORGHEI S C	4	3	6		38
History	HIST 13,GANTNER D C	HIST 13	GANTNER D C	28				39
History	HIST 13,MCMILLEN R	HIST 13	MCMILLEN R	8	6	2		28
History	HIST 14,KAWAGUCHI L A	HIST 14	KAWAGUCHI L A	3	1	4		41
History	HIST 16,CLAYBORNE D	HIST 16	CLAYBORNE D	22	11	7		59
History	HIST 16,MCMILLEN R	HIST 16	MCMILLEN R	7	10	1		37
History	HIST 19,MOSTKOFF A	HIST 19	MOSTKOFF A	28	3	2		43
History	HIST 20,WILKINSON JR E C	HIST 20	WILKINSON JR E C	15	5			41
History	HIST 20,VANBENSCHOTEN W D	HIST 20	VANBENSCHOTEN W D	3	6	5	1	37
History	HIST 22,PETROCELLI R M	HIST 22	PETROCELLI R M	7	6	4		28
History	HIST 25,FRISCH D C W	HIST 25	FRISCH D C W	8	6	6		42
History	HIST 29,PANGBURN K A	HIST 29	PANGBURN K A	10	12	4	1	41
History	HIST 32,STEIGER E J	HIST 32	STEIGER E J	2	5	3		17
History	HIST 33,FOGLEMAN A M	HIST 33	FOGLEMAN A M	10	6	8		33
History	HIST 33,GHANBARPOUR C	HIST 33	GHANBARPOUR C	8	11	6		38
History	HIST 33,PANGBURN K A	HIST 33	PANGBURN K A	5	5	3		38
History	HIST 33,HARTZMARK A L	HIST 33	HARTZMARK A L	13	11	3		39
History	HIST 33,HARTZMARK A L	HIST 33	HARTZMARK A L	16	9	1		41
History	HIST 34,PETROCELLI R M	HIST 34	PETROCELLI R M	6	7	7		36
History	HIST 34,PETROCELLI R M	HIST 34	PETROCELLI R M	5	4	4		21
History	HIST 34,GHANBARPOUR C	HIST 34	GHANBARPOUR C	19	10	5		40
History	HIST 34,PETROCELLI R M	HIST 34	PETROCELLI R M	6	3	3		32
History	HIST 34,BENNETT H M	HIST 34	BENNETT H M	13	2			15
History	HIST 39,PETROCELLI R M	HIST 39	PETROCELLI R M	6	7	3		39
History	HIST 41,BOLELLI D	HIST 41	BOLELLI D	13	15	7	1	45
History	HIST 42,RUIZ R	HIST 42	RUIZ R	24	13			45
History	HIST 47,CHI J S	HIST 47	CHI J S	2	4	4		19
History	HIST 52,MANOFF R J	HIST 52	MANOFF R J	14	11	2		30
History	HIST 53,BOLELLI D	HIST 53	BOLELLI D	16	8	7		39
History	HIST 53,KERZE M	HIST 53	KERZE M	7	5	2		31
History	HIST 55,KERZE M	HIST 55	KERZE M	7	5	5		37
History	HIST 62,CHI J S	HIST 62	CHI J S	4	9	7		33
History	HIST 90A,CHI J S 	HIST 90A	CHI J S 				1	4
Kinesiology	HEALTH 10,STRONG L M	HEALTH 10	STRONG L M	10	11	9		37
Kinesiology	HEALTH 10,KAUFMAN D	HEALTH 10	KAUFMAN D	9	11	9		40
Kinesiology	HEALTH 10,STRONG L M	HEALTH 10	STRONG L M	14	15	8		41
Kinesiology	HEALTH 10,O'FALLON D R	HEALTH 10	O'FALLON D R	40	5	1		54
Kinesiology	HEALTH 10,STAFSKY G B	HEALTH 10	STAFSKY G B	24	3	5		47
Kinesiology	HEALTH 10,CHAVEZ E C	HEALTH 10	CHAVEZ E C	17	9	12		44
Kinesiology	KIN PE 2,SEYMOUR P S	KIN PE 2	SEYMOUR P S	31	6			40
Kinesiology	KIN PE 3,GARRETT J B	KIN PE 3	GARRETT J B	7	3	9		37
Kinesiology	KIN PE 4,AURA J	KIN PE 4	AURA J	20	5	5		41
Kinesiology	KIN PE 5B,KALAFER F	KIN PE 5B	KALAFER F	24	2	2		32
Kinesiology	KIN PE 9A,BARNETT R T	KIN PE 9A	BARNETT R T	25	2	1		34
Kinesiology	KIN PE 9B,ROYAL S A	KIN PE 9B	ROYAL S A	20	1			27
Kinesiology	KIN PE 9C,JENKINS J M	KIN PE 9C	JENKINS J M	20	3	1		45
Kinesiology	KIN PE 9C,NEWBILL I M	KIN PE 9C	NEWBILL I M	6		7		14
Kinesiology	KIN PE 9C,JENKINS J M	KIN PE 9C	JENKINS J M	3		4		7
