Santa Monica College - Grade Distribution Spring 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,,1627,HALL T T,10,3,3,1,1,,,,6,,24,
,,,,1628,FELIX J,5,4,2,1,7,,,1,6,,26,
,,,,1629,FELIX J,3,4,1,2,,,,,1,,11,
,,,,1631,NAKAO P O,12,3,2,2,1,,,,7,,27,
,,,,1632,NAKAO P O,9,3,2,,,,,,2,,16,
,,,,4103,LEWIS M L,4,2,2,3,,,,,7,,18,
,,,,4104,NJOKU R,2,6,7,3,5,,,,,,23,
,,COUNS,88C,1651,FELIX J,1,,,,,,,,,,1,
,,,,3410,HANSON N J,1,,,,,,,,,,1,
,,COUNS,90A,1652,ROTHMAN V J,,,,,,,4,24,,,28,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 26 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Counseling,COUNS,COUNS,90B,1653,ROTHMAN V J,,,,,,,2,3,2,,7,
,,COUNS,90C,1654,ROTHMAN V J,,,,,,,3,13,1,,17,
,,COUNS,90D,1655,ROTHMAN V J,,,,,,,,3,1,,4,
Counseling Tot,,,,,,604,222,134,70,206,11,112,351,389,,2099,
Dance,DANCE,DANCE,2,4118,DOUGLAS JUDITH G,42,47,12,6,4,,,3,3,,117,
,,,,4488,GONZALEZ G,44,3,1,,1,,,,,,49,
,,DANCE,5,1692,LEE J Y,4,8,8,5,11,,,,6,,42,
,,,,1693,DOUGLAS JUDITH G,35,29,11,4,3,,,,7,,89,
,,,,1694,TOMASIC M T,9,13,7,6,2,,,,4,,41,
,,,,1695,LEE J Y,6,7,7,1,9,,,,10,,40,
,,DANCE,10,1696,AYBAY OWENS S,6,1,,,5,,,,4,,16,
,,,,1697,MOE B E,7,1,1,,2,,,,3,,14,
,,,,1698,WOLIN-TUPAS R L,11,4,1,,,,,,6,,22,
,,DANCE,14,1699,HALL L T,4,7,,1,2,,,,7,,21,
,,DANCE,16,1700,LEITNER D,10,3,,,2,,,,5,,20,
,,DANCE,17,1701,GANDHI S N,8,6,1,,,,,,7,,22,
,,DANCE,20,4119,CANELLIAS L M,11,1,,,4,,,,6,,22,
,,DANCE,21,1702,SUSILOWATI S,16,1,,,,,,,3,,20,
,,DANCE,22,1703,RAMIREZ R V,6,2,3,,3,,,,2,,16,
,,DANCE,23,1704,RAMIREZ R V,3,,,,,,,,,,3,
,,DANCE,24,1705,OCAMPO C,10,2,,,3,,,,2,,17,
,,DANCE,25,1706,JORDAN A N,13,5,,1,1,,,2,12,,34,
,,DANCE,29,1707,JESSWEIN J N,7,1,4,,1,,,,10,,23,
,,DANCE,31,1708,RICHARDS C R,8,3,,,,,,,6,,17,
,,,,1709,MOLNAR CY A,7,,1,,5,,,2,12,,27,
,,,,1710,JEAN C A,12,2,1,,,,,,4,,19,
,,,,1711,MOLNAR CY A,12,,,,3,,,,6,,21,
,,,,4120,DEISS K A,3,2,3,2,1,,,1,9,,21,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 27 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Dance,DANCE,DANCE,32,1712,MOLNAR CY A,4,3,,6,,,1,,4,,18,
,,,,1713,RICHARDS C R,10,2,,5,,,,,4,,21,
,,,,4121,JEAN C A,7,,,,,,,,9,,16,
,,DANCE,33,1715,TOMASIC M T,3,6,2,1,4,,,,6,,22,
,,DANCE,34,1716,TOMASIC M T,3,5,1,1,2,,,,2,,14,
,,DANCE,35,1717,LEE J Y,1,2,3,2,,,,,2,,10,
,,DANCE,36,1718,LEE J Y,4,2,,1,,,,,4,,11,
,,DANCE,37,1719,RICHARDS C R,13,3,,1,,,,,7,,24,
,,DANCE,41,1720,KONDRATH J M,13,,,1,,,,,4,,18,
,,,,1721,JORDAN A N,9,4,2,1,,,,2,7,,25,
,,,,1722,BENDER M M,7,2,1,2,,,,,5,,17,
,,,,4122,WOLIN-TUPAS R L,15,1,2,,,,,,2,,20,
,,DANCE,42,1723,JORDAN A N,6,2,2,2,,,,,4,,16,
,,,,1724,AYBAY OWENS S,8,2,,3,,,1,,4,,18,
,,,,1725,MCDONALD K E,6,4,2,1,,,,,12,,25,
,,DANCE,43,1726,TOMASIC M T,7,6,,3,,,,,2,,18,
,,DANCE,44,1727,TOMASIC M T,3,2,,3,,,,,2,,10,
,,DANCE,45,1728,MCDONALD K E,6,5,,,,,,,5,,16,
,,DANCE,46,1729,MCDONALD K E,1,2,,,,,,1,2,,6,
,,DANCE,55A,1730,LEE J Y,15,9,1,1,,,,,1,,27,
,,DANCE,57A,4123,RAMIREZ R V,20,10,1,4,1,,,,6,,42,
,,DANCE,62,4124,WOLIN-TUPAS R L,8,1,1,,,,,,2,,12,
,,DANCE,63,4125,WOLIN-TUPAS R L,6,1,,,,,,,2,,9,
,,DANCE,70,1731,LEE J Y,15,,,,,,,,2,,17,
,,,,1732,RAMIREZ R V,17,,,,,,,,2,,19,
,,DANCE,88A,1733,DOUGLAS JUDITH G,1,,,,,,,,1,,2,
,,DANCE,88B,1734,DOUGLAS JUDITH G,1,1,,,,,,,1,,3,
Dance Total,,,,,496,219,90,35,98,,,2,11,238,,1189,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 28 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Design Techno,ET,ET,2,2199,DAVIS J A,23,2,3,,,,,,6,,34,
,,,,4197,KEESHEN J F,18,10,5,,,,,,7,,40,
,,ET,11,2200,ABODE JR P J,6,4,3,1,1,,,,4,,19,
,,ET,13,2201,JAVELOSA D A,12,6,1,2,,,,,7,,28,
,,ET,15,3304,HUSSAIN W,1,,,9,,,,,7,,17,
,,ET,17,4489,HUSSAIN W,6,2,2,2,,,,,3,,15,
,,ET,18,2203,KLAUTKY E K,4,6,2,3,,,,,4,,19,
,,,,2204,KEESHEN J F,9,6,2,,,,,,7,,24,
,,ET,19A,2205,BROWN S S,11,7,5,,,,,,2,,25,
,,,,4199,KEESHEN J F,14,2,6,,,,,,5,,27,
,,ET,20,2206,DAVIS J A,12,8,,,,,,,3,,23,
,,ET,24,2207,FARRE-TORRENTS R,9,2,4,1,5,,,,3,,24,
,,,,2208,FRIA C T,8,5,8,,,,,,4,,25,
,,ET,24B,2209,SHUM J,8,3,1,,,,,,1,,13,
,,ET,25,4201,WILLIAMS V J,8,2,,7,,,,,4,,21,
,,ET,25B,2210,CHOI Y,6,6,2,2,2,,,,2,,20,
,,ET,30,2212,FRIA C T,5,8,3,1,,,,,3,,20,
,,ET,31A,2213,LOUIE W B,7,10,1,1,4,,,,5,,28,
,,,,2214,LOUIE W B,12,11,2,3,,,,,,,28,
,,,,3406,LOUIE W B,2,3,,2,,,,,1,,8,
,,ET,31B,2215,LOUIE W B,9,5,1,1,2,,,,6,,24,
,,,,2216,LOUIE W B,6,4,2,3,,,,,3,,18,
,,ET,32,4202,UZAN D,6,10,1,1,,,,,5,,23,
,,ET,34,2217,ROTBLATT S J,9,4,1,1,,,,,4,,19,
,,ET,37,4203,CAMENETI M A,4,4,3,2,5,,,,3,,21,
,,ET,38,2219,DUGANNE J A,8,1,1,1,,,,,4,,15,
,,ET,39,2220,JAVELOSA D A,5,4,1,1,,,,,5,,16,
,,ET,40,2221,BEASLEY F,8,7,1,4,,,,,5,,25,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 29 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Design Techno,ET,ET,41,2222,BEASLEY F,4,2,4,4,,,,,2,,16,
,,ET,42,2223,JAVELOSA D A,13,5,1,,,,,,5,,24,
,,ET,44,2224,JAVELOSA D A,13,3,2,2,,,,,3,,23,
,,ET,60,2225,LOUIE W B,8,1,1,3,,,,,4,,17,
,,ET,61,2226,POIRIER N P,23,5,,,,2,,,3,,33,
,,,,2227,WINFREY A M,17,1,2,1,,,,,4,,25,
,,ET,63,4205,ERICKSON D W,8,2,1,2,,,,,8,,21,
,,ET,72,2228,NAGEL J G,6,6,2,1,,,,,11,,26,
,,ET,88A,2229,FRIA C T,4,2,,,,,,,,,6,
,,ET,91,2235,KLAUTKY E K,10,9,4,2,,,,,4,,29,
,,ET,92,4207,KAROL-CROWTHER C I,18,2,2,,,,,,2,,24,
,,ET,94,2236,BROWN S S,11,3,4,1,,,,1,4,,24,
,GR DES,GR DES 18,,2320,ARMSTRONG R W,12,2,2,2,,,,,4,,22,
,,,,2321,ARMSTRONG R W,13,3,1,1,,1,,,3,,22,
,,,,2322,HILL R L,9,4,7,1,3,,,,1,,25,
,,,,2323,HILL R L,8,7,,1,,1,,,5,,22,
,,GR DES 31,,2324,WOOD S J,10,5,1,1,,,,,3,,20,
,,,,2325,DONON S G,5,2,1,,,,,,7,,15,
,,,,2326,WOOD S J,8,3,1,,,,,,11,,23,
,,GR DES 33,,2327,TURNER L J,2,8,4,2,,,,,2,,18,
,,,,4242,STINSON M W,3,10,3,1,,,,,3,,20,
,,GR DES 34,,2328,MAZZARA E,13,2,3,,,,,,6,,24,
,,,,2329,LANCASTER W F,15,5,4,,,,,,,,24,
,,,,2330,MAZZARA E,11,6,3,1,,,,,5,,26,
,,GR DES 35,,2331,GERDS D A,15,5,1,,,,,,2,,23,
,,,,2332,ROBINSON K C,4,7,1,1,1,,,,7,,21,
,,,,4243,ROBINSON K C,10,6,1,,,,,,4,,21,
,,GR DES 38,,2333,BADUEL Z M,4,2,7,2,,,,,9,,24,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 30 of 98,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Design Techno,GR DES,GR DES 38,4244,BADUEL Z M,7,8,3,,1,,,,,2,,21
,,GR DES 41,2334,BADUEL Z M,4,5,1,1,2,,,,,4,,17
,,,4245,BADUEL Z M,9,3,1,1,1,,,,,2,,17
,,GR DES 43,2335,LANCASTER W F,14,4,1,,1,,,,,2,,22
,,GR DES 44,2336,MAZZARA E,12,7,,4,,,,,,1,,24
,,GR DES 50,4246,DONON S G,7,8,,1,,,,,,4,,20
,,GR DES 51,4247,WARREN L S,10,6,3,,,,,,,4,,23
,,GR DES 54,4248,CORTINA C L,10,6,,,2,,,,,3,,21
,,GR DES 64,2337,LANCASTER W F,10,6,3,1,,,,,,3,,23
,,,2338,KASRA M,6,6,1,,5,,,,1,4,,23
,,,4249,LANCASTER W F,6,7,5,2,3,,,,,3,,26
,,GR DES 65,2339,WANG J K,6,5,1,,4,,,,,4,,20
,,,2340,TRIVIZA A,10,3,,,1,,,,,5,,19
,,,2341,TRIVIZA A,5,,,,1,,,,,11,,17
,,,4250,MACGILLIVRAY I J,3,6,4,,1,,,,,8,,22
,,GR DES 66,2342,CAVANAUGH J Y,9,2,3,1,3,,,,1,2,,21
,,,4251,CAVANAUGH J Y,8,7,1,,6,,,,,1,,23
,,GR DES 67,4252,CAVANAUGH J Y,12,2,1,,1,,,,,3,,19
,,GR DES 71,2343,HEATON W B,8,2,1,,2,,,,,2,,15
,,,4253,ALEXOPOULOS T A,8,6,1,,4,,,,,5,,24
,,GR DES 75,4255,FISCHER M I,6,8,1,,2,,,,,3,,20
,,GR DES 90A,2345,LANCASTER W F,,,,,,,,1,,,,1
,,GR DES 90B,2346,LANCASTER W F,,,,,,,,,,1,,1
,,GR DES 90C,2347,LANCASTER W F,,,,,,,,,3,,,3
,INTARC,INTARC 28A,2437,CORDOVA S A,14,4,2,,,,,,,4,,24
,,,2438,MAGNO H R,7,4,1,1,6,,,,,5,,24
,,INTARC 28B,2439,SOTO A J,7,10,5,,2,,1,,,1,,26
,,INTARC 29,2440,CORDOVA S A,14,3,2,,1,,,,,5,,25
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 31 of 98
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Design Techno,INTARC,INTARC 30,,2441,HAO J Y,3,6,3,2,,,,,5,,19,
,,,,4266,HAO J Y,7,1,4,2,,,,,8,,22,
,,INTARC 31,,2442,HAO J Y,7,11,2,2,,,,,5,,27,
,,INTARC 34,,2443,FRAULINO C,13,13,,1,,,,,1,,28,
,,INTARC 34B,,3301,ADAIR J S,4,8,2,,,,,,5,,19,
,,INTARC 35,,2445,JACOBS R E,3,4,2,2,4,,,,3,,18,
,,,,2446,ROSE M L,5,1,3,1,,,,,12,,22,
,,INTARC 36,,2447,GREGORY D K,5,2,3,3,11,,,,3,,27,
,,INTARC 38,,4267,TOOKE J L,10,3,3,,,,,,1,,17,
,,INTARC 39,,4268,SEIBERT V B,9,4,3,1,3,,,,8,,28,
,,INTARC 40,,2448,HAO J Y,2,2,,,,,,,2,,6,
,,INTARC 42,,2449,NOONAN I,9,8,,2,,,,1,5,,25,
,,INTARC 45,,2450,HAO J Y,6,4,1,1,,,,,1,,13,
,,INTARC 65,,2451,CAMENETI M A,4,8,5,1,,,,,3,,21,
,,INTARC 71,,2452,MAGNO H R,5,6,3,5,,1,,1,3,,24,
,,INTARC 90B,,2454,HAO J Y,,,,,,,,1,,,1,
,,INTARC 90C,,2455,HAO J Y,,,,,,,1,,1,,2,
Design Techno,,,,,817,469,195,46,160,,6,2,9,393,,2097,
Disabled Stud,COUNS,COUNS,12H,1589,DAIRE M J,4,1,1,2,,,,,5,,13,
,,COUNS,13H,1590,MONTOYA L L,7,2,1,1,,,,,,,11,
,,COUNS,15H,1592,ADAMS J,4,1,1,3,,,,,1,,10,
,,COUNS,21H,1633,CUTLER E J,,,,,,,,7,,,7,
,,COUNS,22H,1634,CUTLER E J,,,,,,,,6,,,6,
,,COUNS,25H,1635,CUTLER E J,,,,,,,,1,,,1,
,,COUNS,26,1636,CUTLER E J,,,,,,,,,1,,1,
,,COUNS,41H,1637,EVANS JAMI R,1,1,1,1,1,,,,,,5,
,,COUNS,51,1640,JOHNSON A H,,,,,,,1,12,4,,17,
,,COUNS,52,1641,JOHNSON A H,,,,,,,,6,2,,8,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 32 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Disabled Stud,COUNS,COUNS,54,1642,AXELROD L,,,,,,,1,7,,,8,
,,COUNS,56,1643,AXELROD L,,,,,,,1,8,,,9,
,,COUNS,57,1644,TERUYA S,,,,,,,3,4,,,7,
,,COUNS,58,1645,MARCOPULOS G E,,,,,,,,5,,,5,
,,,,1646,MARCOPULOS G E,,,,,,,,8,1,,9,
,,COUNS,59,1647,JOHNSON A H,,,,,,,,6,2,,8,
Disabled Stud,,,,,,16,5,2,3,7,,6,70,16,,125,
Earth Science,ANTHRO,ANTHRO,1,1098,HARADON C M,10,7,4,2,,,,,,,23,
,,,,1099,LEWIS B S,4,8,5,10,10,1,,,8,,46,
,,,,1100,RASHIDI J S,6,8,9,3,12,,,,4,,42,
,,,,1101,DENMAN J F,9,10,18,1,4,,,1,4,,47,
,,,,1102,RASHIDI J S,9,8,6,5,6,,,,6,,40,
,,,,1103,DENMAN J F,9,11,13,2,,1,,1,8,,45,
,,,,4014,HARADON C M,9,10,6,2,1,,,2,5,,35,
,,ANTHRO,2,1104,DALLA DEA A L,13,7,4,3,4,,,,12,,43,
,,,,1105,STRAUSS E M,40,4,,1,,,,1,7,,53,
,,,,1106,KOHPAHL G,2,9,10,6,7,,,,3,,37,
,,,,1107,MINZENBERG E G,13,7,3,1,,,,,3,,27,
,,,,1108,DENMAN J F,10,10,13,1,,,,,6,,40,
,,,,1109,ZANE W W,7,12,7,6,5,1,,,6,,44,
,,,,1110,GREBLER G,25,17,,,,1,,,3,,46,
,,,,4015,MINZENBERG E G,15,12,8,4,,,,,8,,47,
,,,,4016,ZANE W W,9,7,3,5,3,1,,,12,,40,
,,ANTHRO,3,1111,LEWIS B S,2,3,5,5,3,,,,7,,25,
,,,,1112,LEWIS B S,3,8,11,6,5,,,1,10,,44,
,,,,4017,LEWIS B S,3,8,4,3,7,,,,14,,39,
,,ANTHRO,4,1113,LEWIS B S,1,4,2,5,6,3,,,18,,39,
,,ANTHRO,5,1114,AUSTIN J K,,9,6,6,,,,,7,,28,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 33 of 98,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Earth Science,ANTHRO,ANTHRO,5,1115,AUSTIN J K,2,3,8,2,6,,1,1,5,,28,
,,,,1116,GAULD S C,3,8,6,3,1,,1,3,4,,29,
,,,,4018,GAULD S C,2,7,6,3,2,,,,3,,23,
,,ANTHRO,7,1117,COHEN M M,4,8,4,1,7,1,,,14,,39,
,,ANTHRO,9,1118,HARADON C M,10,6,4,2,1,,,1,8,,32,
,,ANTHRO 10,,1119,RASHIDI J S,5,5,8,,2,,,,9,,29,
,,ANTHRO 14,,1120,MINZENBERG E G,7,10,8,10,5,,,1,5,,46,
,,ANTHRO 19,,1121,MINZENBERG E G,17,9,4,2,5,,,1,5,,43,
,,ANTHRO 21,,1122,MINZENBERG E G,6,10,9,6,4,,,,7,,42,
,,ANTHRO 22,,1123,ZANE W W,5,7,9,1,2,,,2,7,,33,
,ASTRON,ASTRON,1,1185,BALM S P,10,12,19,3,2,,,,5,,51,
,,,,1186,BALM S P,10,14,8,1,2,,1,4,4,,44,
,,,,1187,BALM S P,5,19,15,,,,,1,3,,43,
,,,,4039,SCHWARTZ M J,10,18,8,,4,,,1,3,,44,
,,ASTRON,2,1188,BALM S P,8,9,3,,3,,,,1,,24,
,,,,1189,SALAMA A H,6,8,13,2,1,1,,,6,,37,
,,,,1190,BALM S P,7,18,16,4,1,,,1,2,,49,
,,,,4040,SALAMA A H,2,5,14,1,4,3,,,7,,36,
,,,,4041,SCHWARTZ M J,7,9,7,,2,,,,4,,29,
,,ASTRON,3,1191,FOUTS G A,5,8,8,5,2,,,2,5,,35,
,,,,1192,FOUTS G A,3,10,7,5,1,,,,6,,32,
,,ASTRON,4,1193,FOUTS G A,8,6,10,4,3,,,,5,,36,
,,,,4042,SCHWARTZ M J,12,15,2,,3,,,1,2,,35,
,,ASTRON,5,4043,SCHWARTZ M J,8,8,5,,3,,,,3,,27,
,,,,4044,BALM S P,7,16,12,2,3,,,,5,,45,
,,ASTRON,6,1194,FOUTS G A,14,15,6,4,,,,,3,,42,
,,ASTRON,7,4045,BALM S P,11,13,9,,2,,,,10,,45,
,,ASTRON,8,4046,SCHWARTZ M J,13,1,,2,1,,,,1,,18,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 34 of 98,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Earth Science,ENERGY,ENERGY,1,1799,COOLEY S,11,3,2,2,1,,,,7,,26,
,,ENERGY,2,1800,COOLEY S,7,7,2,,6,,,,8,,30,
,,ENERGY,3,1801,COOLEY S,2,3,4,,1,,,,2,,12,
,ENVRN,ENVRN,7,4188,SELBY W A,8,4,11,3,2,,,,1,,29,
,,,,4189,RITZ T M,4,8,2,2,2,,,,1,,19,
,ERTHSC,ERTHSC 88A,,2119,DRAKE V G,2,,,,,,,,,,2,
,,ERTHSC 88C,,2121,DRAKE V G,1,1,,,,,,,1,,3,
,,ERTHSC 90C,,2122,DRAKE V G,1,,,,,,,,,,1,
,GEOG,GEOG,1,2284,YOUNG B C,5,5,8,4,3,,,,3,,28,
,,,,2285,YOUNG B C,1,8,10,3,1,,,,7,,30,
,,,,4227,NEYMAN I,38,5,1,,,,,,2,,46,
,,,,4228,PATRICH J G,7,16,4,1,,1,,3,7,,39,
,,,,4229,DRAYSE M H,4,7,8,1,5,,,,8,,33,
,,GEOG,2,2286,MORRIS P S,3,5,4,4,2,,,,13,,31,
,,,,2287,MORRIS P S,2,7,8,5,5,,,1,18,,46,
,,,,4230,ABATE A,7,7,5,1,6,,,1,2,,29,
,,GEOG,3,2288,KRANZ J,4,9,5,7,,,,1,5,,31,
,,,,2289,KRANZ J,10,11,2,1,5,,,1,11,,41,
,,GEOG,5,2290,SELBY W A,14,4,3,,,,,1,8,,30,
,,,,2291,DRAKE V G,7,8,7,1,,,,5,4,,32,
,,,,2292,HACKELING J,9,10,11,1,1,,,2,4,,38,
,,,,4231,NEYMAN I,56,4,,,,1,,,,,61,
,,GEOG,7,4232,SELBY W A,7,5,2,,,,,,1,,15,
,,,,4233,RITZ T M,5,6,2,1,3,,,,,,17,
,,GEOG,8,2293,MORRIS P S,1,2,1,,4,,,,5,,13,
,,,,2294,MORRIS P S,1,4,3,2,1,,,,4,,15,
,,GEOG,11,2295,MORRIS P S,3,4,4,,1,,,,3,,15,
,,,,2296,ABATE A,3,2,1,,,,,,,,6,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 35 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Earth Science,GEOG,GEOG,14,2297,DRAKE V G,4,8,7,2,4,,,,11,,36,
,,,,2298,PATRICH J G,18,10,3,1,2,,,,7,,41,
,,GEOG,20,2299,DRAKE V G,,1,,,2,,,,3,,6,
,,GEOG,35S,2300,PATRICH J G,15,1,,,1,,,,7,,24,
,GEOL,GEOL,1,2301,GRIPPO A,2,8,10,8,7,,,,10,,45,
,,,,2302,ROBINSON R C,6,10,24,,1,,,,2,,43,
,,,,4235,HALL J M,20,2,2,,2,,,1,4,,31,
,,GEOL,4,2303,MURRAY B P,13,11,7,1,1,,,,2,,35,
,,,,2304,THOMPSON C K,3,15,6,3,1,,,6,,,34,
,,,,4236,THOMPSON C K,14,15,5,1,1,,,,,,36,
,,GEOL,5,4237,GRIPPO A,2,3,5,2,1,,,1,7,,21,
,,GEOL,31,4238,THOMPSON C K,10,5,5,3,4,,2,,2,,31,
,,,,4239,HALL J M,7,9,2,1,2,,,,6,,27,
,,GEOL,35,2305,THOMPSON C K,2,3,,,1,1,,,3,,10,
,GIS,GIS,20,2312,DRAKE V G,10,1,,1,4,,,1,4,,21,
,GLOBAL,GLOBAL 11,,2317,MORRIS P S,2,2,3,1,,,,,2,,10,
,,,,2318,ABATE A,4,2,6,,1,,,,4,,17,
,PV,PV,1,4451,COOLEY S,14,6,1,3,2,,,,2,,28,
,,PV,2,4452,KING T W,7,8,7,,3,,,,,,25,
,,PV,3,4453,RUIZ E S,14,3,1,,3,,,,1,,22,
,,PV,4,4454,PARRISH P T,5,5,2,,3,,,,,,15,
,RRM,RRM,1,3189,CHARLES V H,6,2,4,,6,,,,1,,19,
,,RRM,2,4458,SPEIGHTS S L,5,4,4,1,2,,,,3,,19,
,,RRM,3,3190,HULS J M,27,11,2,,3,,,1,5,,49,
,,RRM,4,4459,SASU S,23,4,,,6,,,2,8,,43,
,URBAN,URBAN,8,3271,MORRIS P S,,2,1,1,2,,,,8,,14,
,,,,3272,MORRIS P S,1,5,5,,1,,,,10,,22,
Earth Science,,,,,863,767,587,203,265,,16,5,52,530,,3288,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 36 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Education/ECE,ECE,ECE,2,1737,DOPHNA G R,20,5,1,,,,,,7,,33,
,,,,1738,DOPHNA G R,15,7,1,,,,,,4,,27,
,,,,1739,DOPHNA G R,17,3,1,,,,,,5,,26,
,,,,1740,POURROY D M,19,5,4,,,,,,4,,32,
,,,,1741,POURROY D M,18,7,1,,,,,,7,,33,
,,,,4126,WILSON L M,32,2,,,,,,,1,,35,
,,ECE,4,1742,HUFF G F,12,1,1,,,,,,1,,15,
,,,,3333,LERNER N F,24,5,1,,,,,,,,30,
,,,,3334,LERNER N F,18,5,1,,,,,,1,,25,
,,,,4127,HUFF G F,10,1,,,,,,,4,,15,
,,ECE,5,4128,HIOKI T,7,6,1,,,,,,8,,22,
,,ECE,8,1743,KARAOLIS O,20,5,3,2,,,,,2,,32,
,,ECE,11,1744,GRACE Y H,20,5,10,,,,,,,,35,
,,,,1745,GRACE Y H,19,5,2,2,1,,,,2,,31,
,,,,1746,TANNATT M G M,9,10,5,2,,,,,4,,30,
,,,,1747,TANNATT M G M,12,6,4,1,4,,,,3,,30,
,,,,4129,GRAY L B,27,5,1,1,,,,1,2,,37,
,,ECE,17,3343,KARAOLIS O,11,2,5,1,,,,,5,,24,
,,,,4130,RICHARD C,18,4,3,1,4,,,,2,,32,
,,ECE,19,1748,TALLEDA M L,14,5,4,1,,,,,5,,29,
,,,,4131,DRUKER S L,8,4,2,2,2,,,,6,,24,
,,ECE,21,1749,DOPHNA G R,30,1,1,1,,,,,2,,35,
,,,,4132,GRACE Y H,16,2,1,,,,,,3,,22,
,,ECE,22,4133,BACKLAR N P,15,5,2,,,1,,,3,,26,
,,,,4134,BACINO J R,13,4,3,,,,,,1,,21,
,,ECE,23,4135,KARAOLIS O,5,2,,,,,,,2,,9,
,,ECE,41,1750,GUNN A C,16,3,3,1,,,,1,1,,25,
,,ECE,43,1751,GUNN A C,17,2,3,,,,,,1,,23,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 37 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Education/ECE,ECE,ECE,45,1752,PARISE W A,8,13,8,7,,,,,3,,39,
,,,,4136,HARRISON T J,21,7,,2,,1,,,4,,35,
,,ECE,46,1753,MCGRATH M T,17,5,2,3,1,,,,4,,32,
,,,,4137,HUFF G F,25,4,1,1,,,,1,3,,35,
,,ECE,48,1754,KHOKHA E W,6,3,,,,,,,5,,14,
,,ECE,49,4138,JOACHIM S L,5,7,1,1,2,,,,7,,23,
,,ECE,51,1755,KHOKHA E W,15,1,,1,,1,,,2,,20,
,,ECE,52,4139,MCPEAKE P,7,4,4,9,,,,,15,,39,
,,ECE,53,1756,KHOKHA E W,19,2,1,,,,,,3,,25,
,,ECE,64,1757,MANSON L J,17,6,4,,,,,,,,27,
,,,,1758,GUNN A C,8,5,4,,,,,,4,,21,
,,,,4140,WILSON L M,19,,,3,,,,,,,22,
,,,,4141,BACKLAR N P,13,1,1,,,,,,4,,19,
,,ECE,71,4142,MCGRATH M T,11,1,,,,,,,5,,17,
,EDUC,EDUC,1,1797,PEREZ-FERNANDEZ L,7,3,1,3,,,,,4,,18,
,,EDUC,2,1798,TALLEDA M L,7,,1,1,,,,,9,,18,
Education/ECE,,,,,667,,179,89,16,47,3,,3,158,,1162,
English,ENGL,ENGL,1,1802,BRIGSTOCKE J W,6,5,2,3,,,,,7,,23,
,,,,1803,ZEHR D M,7,12,8,4,,,,,3,,34,
,,,,1804,OVERALL S J,1,9,7,2,,,,,6,,25,
,,,,1805,DRISCOLL L V,12,8,1,3,,,,,5,,29,
,,,,1806,IRELAND S P,11,11,4,,,,,,2,,28,
,,,,1807,GILDNER B J,3,4,3,5,,,,,8,,23,
,,,,1808,BRIGSTOCKE J W,2,12,3,4,,,,,13,,34,
,,,,1810,WATTS J W,6,18,5,1,,,,,2,,32,
,,,,1811,RAJSKI B,17,9,1,4,,,,,4,,35,
,,,,1812,MENTON K T,2,4,11,6,3,,,,8,,34,
,,,,1813,LEMON W R,1,8,7,1,,,,,5,,22,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 38 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,1,1814,BRIGSTOCKE J W,3,11,4,3,,,,,13,,34,
,,,,1815,ESPINOSA A A,2,11,4,4,5,,,,7,,33,
