Santa Monica College - Grade Distribution Fall 2013,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
,,OFTECH,5,3010,MANTABE P,8,2,10,,2,,,,1,7,30,
,,OFTECH,9,3011,RODRIGUEZ J E,4,,,,,,,,1,,5,
,,,,3012,MCKAY J H,2,,,,,,,,,,2,
,,,,3013,GROSS D M,1,,,,,,,,,1,2,
,,OFTECH 1,,3401,SAMBRANO R,3,2,3,2,10,,,,,,20,
,,OFTECH 2,,3014,MANTABE P,8,10,6,,,,,,,,24,
,,OFTECH 2,,4412,RODRIGUEZ B S,11,2,2,1,1,,1,,,8,26,
,,OFTECH 2,,3015,WILLIAMSON TE D,21,2,1,1,1,,,,,2,28,
Dance,DANCE,DANCE,2,1694,GONZALEZ G,36,2,4,1,1,,,,,1,45,
,,,,1695,DOUGLAS JUDITH G,62,29,10,1,20,,,,1,12,135,
,,,,1696,GONZALEZ G,27,6,,4,4,,,,,4,45,
,,DANCE,5,1697,DOUGLAS JUDITH G,43,31,26,1,3,,,,2,20,126,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 23 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Dance,DANCE,DANCE,5,1698,LEE J Y,4,10,3,3,8,,,,,13,41,
,,,,1699,TOMASIC M T,7,12,5,1,9,,,,1,4,39,
,,,,3339,LEE J Y,7,8,6,3,8,,,,,7,39,
,,DANCE,1,1700,JEAN C A,12,2,1,1,1,,,,,6,23,
,,DANCE,1,1701,JORDAN A N,4,4,,5,4,,,,,8,25,
,,DANCE,1,1702,LEITNER D,16,2,1,1,5,,,,2,4,31,
,,DANCE,1,1703,LETTERY J P,9,4,1,,,,,,,7,21,
,,DANCE,2,1704,CANELLIAS L M,13,7,1,4,4,,,,,6,35,
,,DANCE,2,1705,SUSILOWATI S,15,4,1,1,1,,,,,1,23,
,,DANCE,2,1706,RAMIREZ R V,3,4,4,,,,,,,8,19,
,,DANCE,2,1707,RAMIREZ R V,,1,1,1,1,,,,,,4,
,,DANCE,2,1708,ANDRADE A E,10,1,1,,,,,,1,5,18,
,,DANCE,2,1709,JORDAN A N,6,5,3,3,5,,,,,13,35,
,,DANCE,2,1710,YUDIN L K,15,4,4,,1,,,,,8,32,
,,DANCE,2,1711,JESSWEIN J N,13,1,1,,1,,,,1,1,18,
,,DANCE,3,1712,RICHARDS C R,10,2,,,,,,,,6,18,
,,,,1713,AYBAY OWENS S,12,3,,1,5,,,,,5,26,
,,,,1714,PALLAIS K S,8,7,4,4,6,,,,,3,32,
,,,,1715,JEAN C A,7,5,,1,2,,,,,2,17,
,,,,1716,TOMASIC M T,4,2,4,3,5,,,,,8,26,
,,,,4140,MOLNAR CY A,13,3,,,1,,,,,8,25,
,,,,4515,AYBAY OWENS S,13,4,,,5,,,,,4,26,
,,DANCE,3,1717,RICHARDS C R,7,2,,,4,,,1,,9,23,
,,,,1718,MOLNAR CY A,9,2,,,2,,,,,5,18,
,,,,1719,TOMASIC M T,10,4,4,3,3,,,1,,9,34,
,,,,4142,MOLNAR CY A,8,5,,,5,,,,,4,22,
,,DANCE,3,1720,TOMASIC M T,5,5,6,4,1,,,,,10,31,
,,,,4143,RICHARDS C R,6,3,,,3,,,,,11,23,
,,DANCE,3,1721,LEE J Y,12,7,1,,1,,,,,3,24,
,,DANCE,4,1722,AYBAY OWENS S,13,3,,2,5,,,,,5,28,
,,,,1723,JEAN C A,12,2,1,,1,,,,1,2,19,
,,,,1724,MCDONALD K E,8,9,1,,1,,,,,6,25,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 24 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Dance,DANCE,DANCE,4,1725,BENDER M M,5,,3,,3,,,,,6,17,
,,,,3389,GREENE S M,8,2,2,,2,,,,,5,19,
,,DANCE,4,1726,AYBAY OWENS S,10,,4,,2,,,,,2,18,
,,,,1728,JORDAN A N,7,1,2,1,,,,,2,8,21,
,,,,1729,GREENE S M,4,3,,,5,,,,,6,18,
,,DANCE,4,1730,TOMASIC M T,5,5,2,2,3,,,,,7,24,
,,DANCE,4,1731,MCDONALD K E,14,7,1,,1,,,,,1,24,
,,DANCE,5,1732,LEE J Y,26,3,,,,,,,,4,33,
,,DANCE,5,4144,RAMIREZ R V,19,5,9,,,,,,,6,39,
,,DANCE,5,3412,WALKER C Y,20,,,,,,,,,2,22,
,,DANCE,6,4145,WOLIN-TUPAS R L,12,2,,,,,,,,1,15,
,,DANCE,6,4146,WOLIN-TUPAS R L,8,1,,,,,,,,1,10,
,,DANCE,7,1733,LEE J Y,14,,,,1,,,,,1,16,
,,,,1734,SUSILOWATI S,18,1,,,1,,,,,6,26,
,,DANCE,8,3379,TOMASIC M T,8,,,,,,,,,,8,
,,DANCE,8,1735,DOUGLAS JUDITH G,12,,,,,,,,,,12,
,,DANCE,8,1736,DOUGLAS JUDITH G,3,,,,,,,,,,3,
Design Tech.,ET,ET,2,2252,KEESHEN J F,15,18,3,,,,,,1,1,38,
,,,,4222,KEESHEN J F,33,21,19,,,,,,1,8,82,
,,ET,11,2253,ABODE JR P J,8,7,4,,1,,,,,3,23,
,,ET,15,2254,HUSSAIN W,2,2,2,1,12,,,1,1,2,23,
,,ET,17,2255,HUSSAIN W,6,1,3,1,6,,,,,,17,
,,ET,18,2256,DAVIS J A,8,8,4,,,,,,,4,24,
,,,,2257,KLAUTKY E K,4,3,2,4,2,,,1,,1,17,
,,ET,19A,2258,KEESHEN J F,13,6,4,,,,,,,3,26,
,,ET,19B,4223,KEESHEN J F,13,4,3,,,,,,,1,21,
,,ET,20,2259,KEESHEN J F,16,2,,,,,,,,2,20,
,,ET,24,2260,FRIA C T,5,10,1,,6,,,,,4,26,
,,,,4224,FRIA C T,5,3,4,1,4,,,,,6,23,
,,ET,24C,2261,SHUM J,4,8,,,2,,,,,2,16,
,,ET,25,4225,WILLIAMS V J,13,4,1,,,,,,,3,21,
,,ET,25B,2262,CHOI Y,5,6,5,,4,,,,,2,22,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 25 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Design Tech.,ET,ET,25C,4226,FRIA C T,9,2,1,,4,,,,,8,24,
,,ET,26,2263,DERAKHSHANI D,7,6,,,3,,,,,4,20,
,,ET,31A,2264,LOUIE W B,6,17,,,1,,,,,3,27,
,,,,2265,LOUIE W B,11,5,3,3,1,,,,,4,27,
,,,,4227,LOUIE W B,13,5,2,,3,,,,,1,24,
,,ET,31B,2266,LOUIE W B,11,4,1,1,,,,,,1,18,
,,,,4228,LOUIE W B,9,3,1,,,,,,,4,17,
,,ET,33,4229,UZAN D,2,5,3,2,3,,,,,3,18,
,,ET,34,2267,ROTBLATT S J,8,4,3,,4,,,,1,3,23,
,,ET,37,2268,DUGANNE J A,11,1,1,2,,,,,,6,21,
,,,,4230,CAMENETI M A,8,6,1,3,,,2,,,1,21,
,,ET,38,2269,DUGANNE J A,14,1,,,,,,,,3,18,
,,ET,40,2270,BEASLEY F,12,5,4,,2,,,,,1,24,
,,,,2271,JAVELOSA D A,15,7,1,,,,,,,1,24,
,,ET,41,2272,BEASLEY F,6,6,,,2,,,,1,,15,
,,ET,42,2273,JAVELOSA D A,11,5,3,1,1,,,,,1,22,
,,,,2274,JAVELOSA D A,13,3,2,,3,,,,,2,23,
,,ET,44,2275,JAVELOSA D A,9,9,2,,,,,,,2,22,
,,,,4231,JAVELOSA D A,12,3,,,2,,,,,2,19,
,,ET,58,2276,HEATON W B,7,3,1,,,,,,1,6,18,
,,ET,59,2277,HEATON W B,6,8,,,1,,1,,,4,20,
,,ET,60,3359,LOUIE W B,15,1,1,,,,,,,4,21,
,,ET,61,2278,POIRIER N P,24,4,,,,,2,,,5,35,
,,,,3382,WINFREY A M,17,3,2,,1,,,,,4,27,
,,ET,63,4232,WILLIAMS V J,6,3,2,2,4,,,,,2,19,
,,ET,65,4504,CAMPBELL R,,2,5,,2,,,,,4,13,
,,ET,72,2279,NAGEL J G,14,5,2,,2,,,,1,7,31,
,,ET,75,2280,DAVIS J A,10,7,2,,,,,,,3,22,
,,ET,88A,2281,FRIA C T,,2,,,,,,,,1,3,
,,ET,90C,2286,FRIA C T,,,,,,,,,1,,1,
,,ET,91,2287,BROWN S S,14,2,,,1,,,,,6,23,
,,ET,92,4234,KAROL-CROWTHER C I,14,9,,,,,,,,2,25,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 26 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Design Tech.,ET,ET,94,2288,BROWN S S,24,1,,,,,,,,1,26,
,GR DES,GR DES 18,,2363,HILL R L,12,2,2,1,2,,,,,8,27,
,,,,2364,MAZZARA E,12,7,1,,,,,,,4,24,
,,,,2365,HILL R L,8,2,4,2,3,,,,,4,23,
,,,,4261,ARMSTRONG R W,12,4,2,,2,,,,,3,23,
,,GR DES 31,,2366,DONON S G,8,3,,,2,,,,,7,20,
,,,,2367,WOOD S J,7,7,5,,1,,,,,,20,
,,,,4262,DONON S G,4,7,2,,3,,,,,4,20,
,,GR DES 33,,2368,LANCASTER W F,11,7,2,,,,,,,3,23,
,,,,4263,TANAKA BONITA R,15,4,,,3,,,,,2,24,
,,GR DES 34,,2369,MAZZARA E,8,9,1,,3,,,,,3,24,
,,,,2370,MAZZARA E,9,4,6,2,1,,,,,3,25,
,,GR DES 35,,2371,ROBINSON K C,8,4,2,,2,,,,,5,21,
,,,,2372,ROBINSON K C,6,3,3,,,,,,,8,20,
,,GR DES 38,,2373,BADUEL Z M,7,7,2,,2,,,,,5,23,
,,,,4264,BADUEL Z M,6,6,1,1,2,,,,1,3,20,
,,GR DES 41,,2374,BADUEL Z M,6,6,3,2,2,,,,,4,23,
,,,,4265,BADUEL Z M,8,9,1,1,2,,,,,,21,
,,GR DES 51,,4266,LANCASTER W F,16,5,2,,1,,,,,2,26,
,,GR DES 64,,2375,LANCASTER W F,9,7,3,,3,,,,,4,26,
,,,,2376,KASRA M,10,10,1,2,3,,,1,,4,31,
,,,,4267,LANCASTER W F,11,7,2,,1,,,,,3,24,
,,GR DES 65,,2377,CAVANAUGH J Y,10,5,,,1,,,,,9,25,
,,,,2378,CAVANAUGH J Y,6,2,,,2,,,,,10,20,
,,,,4268,MACGILLIVRAY I J,3,2,3,1,1,,,,1,6,17,
,,GR DES 66,,2379,CAVANAUGH J Y,11,2,,,2,,1,,,4,20,
,,,,4269,CAVANAUGH J Y,11,4,,,3,,1,,,7,26,
,,GR DES 71,,2380,ZENHARI E F,6,3,1,,,,,,,5,15,
,,,,4270,GERDS E L,8,5,2,1,3,,,,,2,21,
,,GR DES 75,,4271,CAVANAUGH J Y,19,2,,,,,,,,5,26,
,,GR DES 88,,2381,LANCASTER W F,,1,,,,,,,,,1,
,,GR DES 90,,2383,LANCASTER W F,,,,,,,,,3,,3,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 27 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Design Tech.,GR DES,GR DES 90,,2384,LANCASTER W F,,,,,,,,,1,,1,
,INTARC,INTARC 28,,2476,SOTO A J,5,4,4,2,2,,,,,3,20,
,,INTARC 29,,2477,CORDOVA S A,13,6,1,,1,,,,,3,24,
,,INTARC 30,,2478,HAO J Y,12,9,1,,2,,,,,5,29,
,,,,2479,HAO J Y,5,6,8,,3,,,,,7,29,
,,INTARC 31,,2480,HAO J Y,5,7,7,,2,,1,,,3,25,
,,INTARC 32,,2481,FRAULINO C,13,9,3,,,,,,,2,27,
,,,,4280,NOONAN I,15,4,3,,2,,,,,5,29,
,,INTARC 33,,4281,GREGORY D K,3,4,3,,,,,,,4,14,
,,INTARC 34,,2482,ADAIR J S,9,2,2,,1,,,,,6,20,
,,INTARC 35,,2483,CORDOVA S A,9,5,1,,,,,,,2,17,
,,INTARC 36,,2484,DAVIS A A,16,1,2,,2,,,1,,3,25,
,,INTARC 37,,4282,GETZLER S L,11,7,1,,,,,,,2,21,
,,INTARC 40,,2486,HAO J Y,6,3,1,1,,,,,,2,13,
,,INTARC 41,,2487,NOONAN I,5,6,3,7,5,,,,,10,36,
,,INTARC 45,,2488,HAO J Y,1,1,,,,,,,,,2,
,,INTARC 46,,4283,WANG D,4,6,3,2,2,,,,,6,23,
,,INTARC 50,,4284,ADAIR J S,6,13,2,1,1,,,,,3,26,
,,INTARC 90,,2490,HAO J Y,,,,,,,,,1,,1,
,,INTARC 90,,2491,HAO J Y,,,,,,,,,5,,5,
Disabl Stu Ct,COUNS,COUNS,1,1574,ADAMS J,6,2,3,4,1,,,,1,2,19,
,,COUNS,1,1575,RABINOW-PALLEY L,7,4,,,,,,,,3,14,
,,COUNS,1,1576,ADAMS J,4,,4,,2,,,,2,11,23,
,,COUNS,2,1636,CUTLER E J,,,,,,,,,7,1,8,
,,COUNS,2,1637,CUTLER E J,,,,,,,,,2,,2,
,,COUNS,2,1638,CUTLER E J,,,,,,,,,4,1,5,
,,COUNS,2,1639,CUTLER E J,,,,,,,,,2,,2,
,,COUNS,4,1640,ADAMS J,2,2,,,,,,,,,4,
,,COUNS,5,1643,JOHNSON A H,,,,,,,1,1,13,1,16,
,,COUNS,5,1644,JOHNSON A H,,,,,,,,1,16,,17,
,,COUNS,5,1645,AXELROD L,,,,,,,,2,12,3,17,
,,COUNS,5,1646,AXELROD L,,,,,,,,,6,4,10,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 28 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Disabl Stu Ct,COUNS,COUNS,5,1647,TERUYA S,,,,,,,,3,8,3,14,
,,COUNS,5,1648,MARCOPULOS G E,,,,,,,,,7,2,9,
,,,,1649,MARCOPULOS G E,,,,,,,,,7,,7,
,,COUNS,5,1654,JOHNSON A H,,,,,,,1,,6,,7,
Earth Scienc,ANTHRO,ANTHRO,,1092,HARADON C M,10,2,5,2,7,,,,1,6,33,
,,,,1093,HARADON C M,7,6,7,5,5,,,1,,11,42,
,,,,1094,RASHIDI J S,5,8,13,6,7,,,,1,3,43,
,,,,1095,LEWIS B S,6,5,7,5,7,,1,,,3,34,
,,,,1096,RASHIDI J S,13,4,3,1,1,,,,,2,24,
,,,,1097,DENMAN J F,9,6,9,2,1,,,,,4,31,
,,,,1098,RASHIDI J S,6,8,6,5,12,,,1,2,3,43,
,,,,4020,DENMAN J F,7,7,16,,,,,,,5,35,
,,ANTHRO,,1099,KOHPAHL G,4,16,6,1,2,,,,1,8,38,
,,,,1100,DENMAN J F,10,10,20,2,2,,1,,,4,49,
,,,,1101,MINZENBERG E G,14,9,2,1,,,,,,,26,
,,,,1102,ZANE W W,6,13,10,8,2,,,,,3,42,
,,,,1103,GREBLER G,32,9,4,,1,,,,,2,48,
,,,,1104,MINZENBERG E G,11,9,9,5,2,,,,2,6,44,
,,,,4021,STRAUSS E M,35,7,,,1,,,1,,3,47,
,,,,4022,STRAUSS E M,20,5,1,2,5,,,,,6,39,
,,ANTHRO,,1105,LEWIS B S,4,8,8,5,1,,,,,15,41,
,,,,1106,LEWIS B S,2,2,5,3,5,,1,,,12,30,
,,,,4023,LEWIS B S,2,6,9,4,7,,,,,11,39,
,,ANTHRO,,1107,LEWIS B S,2,4,8,3,3,,,,,13,33,
,,ANTHRO,,1108,AUSTIN J K,2,7,7,3,3,,,,,3,25,
,,,,1109,AUSTIN J K,3,6,7,6,,,,,,4,26,
,,,,1110,GAULD S C,5,5,9,1,2,,,,,5,27,
,,,,4024,GAULD S C,5,6,9,1,3,,,,,4,28,
,,ANTHRO,,1111,GREBLER G,23,6,,,,,1,,,4,34,
,,ANTHRO,,1112,HARADON C M,11,12,2,2,3,,,,,4,34,
,,ANTHRO 1,,1113,ZANE W W,7,10,7,6,4,,,1,,6,41,
,,,,1114,MINZENBERG E G,12,16,5,4,4,,,,,3,44,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 29 of 87,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Earth Scienc,ANTHRO,ANTHRO 1,1115,GREBLER G,21,8,2,,,4,,,,,9,44
,,ANTHRO 2,1116,MINZENBERG E G,5,8,11,5,,6,,,,,3,38
,,ANTHRO 2,1117,ZANE W W,5,13,9,6,,2,,,,1,7,43
,ASTRON,ASTRON,1182,BALM S P,7,7,10,2,,2,,,,,4,32
,,,1183,BALM S P,11,14,11,3,,2,,,,,8,49
,,,4046,SCHWARTZ M J,8,15,5,,,7,,,,,7,42
,,ASTRON,1184,BALM S P,10,12,19,,,,,,,,6,47
,,,1185,SCHWARTZ M J,10,10,12,1,,5,,1,,,6,45
,,,4047,SCHWARTZ M J,9,13,8,,,5,,,,,8,43
,,ASTRON,1186,FOUTS G A,4,4,6,7,,3,,,,,6,30
,,,1187,FOUTS G A,7,4,7,2,,2,,,,,6,28
,,ASTRON,1188,FOUTS G A,3,6,8,6,,5,,,,,,28
,,,4048,SCHWARTZ M J,8,11,10,,,,,,,4,,33
,,ASTRON,4049,SCHWARTZ M J,12,10,5,2,,8,,,,,7,44
,,,4050,SCHWARTZ M J,13,9,2,6,,2,,,,1,8,41
,,,4051,BALM S P,5,17,11,1,,2,,,,,5,41
,,ASTRON,1189,FOUTS G A,6,14,7,,,1,,,,1,9,38
,ENERGY,ENERGY,1,1803,COOLEY S,6,8,7,,5,,,,,,26
,,ENERGY,2,1804,COOLEY S,7,12,4,,3,,,,,7,33
,ENVRN,ENVRN,7,4213,SELBY W A,6,13,10,5,1,,,,,2,37
,ERTHSC,ERTHSC 8,3402,DRAKE V G,1,,,,,,,,,,,1
,,ERTHSC 8,2164,DRAKE V G,,,,,,,,,,,1,1
,,,3415,DRAKE V G,1,,,,,,,,,,,1
,,ERTHSC 9,3403,DRAKE V G,1,,,,,,,,,,,1
,GEOG,GEOG,1,2329,YOUNG B C,2,8,8,3,4,,,,1,9,35
,,,2330,YOUNG B C,4,6,3,1,,4,,,,1,12,31
,,,4252,DRAYSE M H,4,4,8,8,,13,,,3,,8,48
,,GEOG,2,2331,MORRIS P S,2,8,15,3,,,,,,12,40
,,,2332,MORRIS P S,4,15,5,8,,2,,,,,9,43
,,GEOG,3,2333,SELBY W A,4,8,7,4,1,,,,1,9,34
,,,2334,KRANZ J,7,14,4,1,,2,,,,,8,36
,,GEOG,5,2335,SELBY W A,13,8,2,,,,,,,3,26
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 30 of 87
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Earth Scienc,GEOG,GEOG,5,2336,DRAKE V G,8,11,13,1,2,,,,1,6,42,
,,,,2337,HACKELING J,8,8,6,2,,,,1,1,4,30,
,,,,4253,PATRICH J G,17,15,5,3,1,,,,1,3,45,
,,GEOG,7,4254,SELBY W A,5,4,3,,2,,,,,,14,
,,GEOG,8,2339,MORRIS P S,3,10,1,1,,,,,,1,16,
,,,,3352,MORRIS P S,2,2,1,,4,,,,1,6,16,
,,GEOG,11,2340,MORRIS P S,5,3,4,,,,,,,,12,
,,,,2341,ABATE A,2,2,6,,,,,,,5,15,
,,GEOG,14,2342,SELBY W A,6,2,12,3,9,,,,,10,42,
,,,,2343,DRAKE V G,11,7,8,1,7,,,1,1,7,43,
,,GEOG,20,2344,DRAKE V G,3,,,,,,,,1,8,12,
,,GEOG,35,2345,SELBY W A,14,1,2,,,,,,1,5,23,
,GEOL,GEOL,1,2346,ROBINSON R C,2,7,19,,1,,,,2,6,37,
,,,,2347,THOMPSON C K,13,7,7,3,10,,,,,6,46,
,,,,2348,THOMPSON C K,6,12,9,8,4,,,,,8,47,
,,,,4256,GRIPPO A,3,5,4,1,1,,,,,7,21,
,,GEOL,4,2349,THOMPSON C K,11,12,7,,,,,,1,5,36,
,,GEOL,5,4257,GRIPPO A,4,7,8,2,,,,,,7,28,
,,GEOL,31,2350,THOMPSON C K,11,19,5,2,3,,,,,5,45,
,,,,4258,KREMENETSKI K V,10,15,8,3,,,1,,,6,43,
,GIS,GIS,20,2355,DRAKE V G,5,,,,1,,,,,9,15,
,GLOBAL,GLOBAL 1,,2360,MORRIS P S,4,4,4,1,,,,,,,13,
,,,,2361,ABATE A,1,5,,1,2,,,,,1,10,
,PV,PV,1,4470,COOLEY S,8,12,2,2,7,,,,,,31,
,,PV,2,4471,COOLEY S,6,9,7,,2,,,,,4,28,
,,PV,3,4472,RUIZ E S,6,1,2,,1,,,,,2,12,
,RRM,RRM,1,3236,CHARLES V H,13,6,5,1,,,7,,,9,41,
,,RRM,2,4476,SOMMER S L,12,7,,,7,,,,,1,27,
,,RRM,3,3237,HULS J M,29,5,,1,2,,,,,11,48,
,,RRM,4,4477,CHARLES V H,18,4,5,,5,,,,,15,47,
,URBAN,URBAN,8,3319,MORRIS P S,2,6,,4,1,,,1,,9,23,
,,,,3353,MORRIS P S,,3,4,2,4,,,,,12,25,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 31 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Education/E,DANCE,DANCE,7,4147,WOLIN-TUPAS R L,7,3,1,,,,,,,3,14,
,ECE,ECE,2,1739,DOPHNA G R,25,,1,,1,,,,,3,30,
,,,,1741,WILSON L M,21,1,1,,2,,,,,3,28,
,,,,1742,WILSON L M,25,1,1,,3,,,,,5,35,
,,,,1743,POURROY D M,22,4,3,,,,,,,5,34,
,,,,1744,POURROY D M,20,1,5,2,1,,,,,1,30,
,,,,3387,LERNER N F,7,8,4,,1,,,,,,20,
,,,,4148,KARAOLIS O,18,1,,,3,,,,,9,31,
,,ECE,4,1745,DOPHNA G R,19,2,3,,,,,,,4,28,
,,,,4149,MCPEAKE P,6,3,1,2,2,,,,,2,16,
,,ECE,5,1746,DOPHNA G R,16,2,1,,1,,,,,10,30,
,,ECE,8,1747,KARAOLIS O,18,2,1,,,,,,,8,29,
,,ECE,11,1748,LERNER N F,21,11,,,1,,,,,2,35,
,,,,1749,TANNATT M G M,11,9,3,1,2,,,,,3,29,
,,,,1750,MANSON L J,24,6,6,,,,,,,5,41,
,,,,1751,TANNATT M G M,9,10,6,,1,,,,,8,34,
,,,,4150,GRAY L B,19,8,1,,1,,,,,2,31,
,,ECE,17,1752,MANSON L J,29,11,2,,,,,,,3,45,
,,,,4151,RICHARD C,24,1,1,1,2,,,,,3,32,
,,ECE,19,1753,TALLEDA M L,10,4,3,,2,,,,,,19,
,,,,4152,DRUKER S L,4,6,4,2,1,,,,,5,22,
,,ECE,21,1754,DOPHNA G R,18,5,,,,,,,,3,26,
,,,,4153,CABELLO V M,15,5,4,,2,,,,,1,27,
,,ECE,22,4154,BACKLAR N P,22,3,,,,,,,,,25,
,,ECE,41,1755,GUNN A C,19,13,1,2,,,,,,2,37,
,,ECE,43,1756,GUNN A C,16,3,3,1,3,,,,,1,27,
,,ECE,45,1757,PARISE W A,14,11,8,,1,,,,,,34,
,,,,4155,KARAOLIS O,16,13,4,,3,,,,,6,42,
,,ECE,46,1758,MCGRATH M T,15,8,3,,1,,,,,3,30,
,,,,4156,MCGRATH M T,15,5,1,,,,,,,5,26,
,,ECE,48,1759,KHOKHA E W,10,1,3,,,,,,,9,23,
,,ECE,49,4157,PARISE W A,25,2,1,1,3,,,,,4,36,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 32 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Education/E,ECE,ECE,51,1760,HEIMANN R Y,13,1,1,,,,,,,3,18,
,,ECE,64,1761,BACKLAR N P,12,6,3,2,4,,,,,3,30,
,,,,1762,POURROY D M,25,4,1,,,,,,,3,33,
,,,,1763,GUNN A C,17,7,2,,,,,,,,26,
,,,,4158,ANDREWS T D,13,6,3,1,1,,,,,8,32,
,,ECE,75,4159,WOLIN-TUPAS R L,10,1,,,,,,,,2,13,
,EDUC,EDUC,1,1802,TALLEDA M L,11,4,1,1,1,,,,,1,19,
,,,,4165,PEREZ L,4,8,3,,1,,,,,9,25,
English,ENGL,ENGL,1,1805,BRIGSTOCKE J W,6,11,,,4,,,,,9,30,
,,,,1806,ZEHR D M,11,10,2,1,,,,,,3,27,
,,,,1807,DRISCOLL L V,7,17,3,5,,,,,,3,35,
,,,,1808,MARTINEZ-GIL C,9,7,3,1,8,,,,,2,30,
,,,,1809,MINAMI A M,6,7,5,,3,,,,,4,25,
,,,,1810,BRIGSTOCKE J W,7,17,,,4,,,,,8,36,
,,,,1811,BLACKWELL N,3,8,8,1,5,,,,,2,27,
,,,,1812,SOLOTAR M,1,4,3,1,3,,,,,12,24,
,,,,1813,GARNICA A M,2,10,8,2,3,,,,,,25,
,,,,1814,STIRLING M S,2,9,4,1,4,,,,,3,23,
,,,,1815,HERBERT S,3,14,8,5,4,,,,,3,37,
,,,,1816,MENTON K T,2,9,6,3,3,,,,,4,27,
,,,,1818,WATTS J W,13,20,3,,,,,,,6,42,
,,,,1819,PAIK-SCHOENBERG J,5,3,8,3,2,,,,,15,36,
,,,,1820,DESAI D H,5,8,6,,1,,,,,5,25,
,,,,1821,YOUNG W H,2,5,3,2,3,,,,,6,21,
,,,,1822,KARRON R,3,8,4,2,3,,,,,6,26,
,,,,1823,BRIGSTOCKE J W,3,14,3,,4,,,,,8,32,
,,,,1824,DURAN A,6,4,2,,6,,1,,,7,26,
,,,,1825,GOODE S S,5,10,4,,,,,,,4,23,
,,,,1826,IRELAND S P,21,8,1,1,,,,,,1,32,
,,,,1827,BONAR H S,6,10,5,,2,,,,,4,27,
,,,,1828,HANSEN N C,6,6,1,4,2,,,,,3,22,
,,,,1829,MOTOIKE K J,10,4,5,,1,,,,,4,24,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 33 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,1,1830,HANSEN N C,5,5,4,1,,,,,,6,21,
,,,,1831,HALL J E,14,3,2,,3,,,,,,22,
,,,,1832,SOSNER J A,4,10,3,1,2,,,,,5,25,
,,,,1833,MEIR N K,8,3,1,,1,,,,,11,24,
,,,,1834,MAVROMATI A C,8,2,7,1,2,,,,,7,27,
,,,,1835,BONAR H S,3,6,5,,3,,,,,6,23,
,,,,1836,HAMADA M J,7,7,7,,,,,,,8,29,
,,,,1837,ESPINOSA A A,3,12,3,,4,,,,,2,24,
,,,,1838,PADILLA M R,5,10,4,,3,,,,,5,27,
,,,,1839,DRISCOLL L V,21,3,,1,,,,,,1,26,
,,,,1840,MINAMI A M,5,5,3,2,6,,,,,4,25,
,,,,1841,NOLAN-COFFMAN M P,7,4,3,,4,,,,,5,23,
,,,,1842,BLACKWELL N,8,2,8,1,3,,,,,7,29,
,,,,1843,GARNICA A M,2,7,6,1,4,,,,,6,26,
,,,,1844,STEIN J A,4,10,1,3,,,,,,9,27,
,,,,1845,WINKLER K D,8,9,7,2,,,,,,1,27,
,,,,1846,FONSECA M L,4,5,6,,1,,,,,8,24,
,,,,1847,MEIR N K,4,5,4,1,,,,,,4,18,
,,,,1848,MENTON K T,3,6,7,4,5,,,,,3,28,
,,,,1849,IRELAND S P,19,9,1,2,,,,,,1,32,
,,,,1850,YOUNG W H,1,8,5,,1,,,,,8,23,
