Santa Monica College - Grade Distribution Spring 2012,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
,,ET,18,2129,DAVIS J A,4,5,,4,,,,,9,22,
,,,,2130,KLAUTKY E K,3,6,3,3,3,,,,5,23,
,,ET,19A,2131,KEESHEN J F,4,11,4,1,,,,,4,24,
,,,,4199,KEESHEN J F,3,11,2,1,,,,,5,22,
,,ET,19B,2132,DAVIS J A,2,7,,3,,,,,7,19,
,,ET,20,2133,KEESHEN J F,9,2,3,1,,,,,7,22,
,,ET,24,2134,FRIA C T,3,7,2,1,4,,,,9,26,
,,,,4200,FRIA C T,6,10,2,,3,,,,5,26,
,,ET,24B,2135,SHUM J,12,3,1,3,1,,,1,4,25,
,,ET,24C,4201,WILLIAMS V J,4,3,1,,4,,,,7,19,
,,ET,25,4202,WILLIAMS V J,17,,,1,1,,,,3,22,
,,ET,25B,2136,CHOI Y,5,3,3,,4,,,,3,18,
,,ET,30,2137,FRIA C T,2,5,3,,3,,,,2,15,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 25 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Design Tech.,ET,ET,31A,2138,LOUIE W B,18,3,2,,,1,,,2,26,
,,,,4203,LOUIE W B,21,2,3,,,1,,,3,30,
,,ET,31B,2139,LOUIE W B,17,2,,,,,,,4,23,
,,,,4204,LOUIE W B,17,2,1,,,,,,,20,
,,ET,32,4205,UZAN D,7,14,1,,1,,,,2,25,
,,ET,34,2140,ROTBLATT S J,13,2,1,1,3,,,,3,23,
,,ET,37,2141,DUGANNE J A,10,5,2,5,,,1,,3,26,
,,,,4207,LOUIE W B,15,6,1,,,,,,1,23,
,,ET,38,2142,DUGANNE J A,7,1,1,4,,,,1,6,20,
,,ET,39,2143,JAVELOSA D A,13,7,2,,,,,,2,24,
,,ET,40,2144,BEASLEY F,6,3,5,,5,,,,6,25,
,,ET,41,2145,BEASLEY F,12,5,2,,,,,,2,21,
,,ET,42,2146,JAVELOSA D A,11,7,2,1,,,,,2,23,
,,,,2147,JAVELOSA D A,10,5,3,1,2,,,,3,24,
,,ET,44,4208,JAVELOSA D A,11,7,5,1,2,,,,2,28,
,,ET,58,2148,LOUIE W B,18,3,1,,3,1,,,3,29,
,,ET,59,2149,HEATON W B,12,5,,,5,3,1,,,26,
,,ET,61,2150,POIRIER N P,24,5,,,1,1,,,4,35,
,,ET,64,4209,CAMPBELL R,1,3,1,,4,,,,9,18,
,,ET,65,4488,ZALZALA J,1,2,1,2,1,3,,,4,14,
,,ET,72,2152,NAGEL J G,9,9,1,,3,,,,7,29,
,,ET,90C,2157,FRIA C T,,,,,,,,1,,1,
,,ET,91,2158,BROWN S S,23,3,1,,1,,,,3,31,
,,ET,92,4210,KAROL-CROWTHER C I,15,5,3,1,1,,,,1,26,
,,ET,94,2159,BROWN S S,18,3,,,1,1,,,3,26,
,,ET,96,4211,ROBINSON K C,10,8,,,,,,,7,25,
,GR DES,GR DES 18,,2227,HILL R L,16,1,1,3,5,,,,1,27,
,,,,2228,LANCASTER W F,10,7,2,1,2,,,,3,25,
,,,,2229,ARMSTRONG R W,15,3,1,,5,,,1,,25,
,,,,4237,ARMSTRONG R W,12,5,1,,3,,,,3,24,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 26 of 88,,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Design Tech.,GR DES,GR DES 21,2230,JOHNSON B T,10,7,1,,,3,,,1,4,26
,,GR DES 31,2231,DONON S G,7,5,4,,,1,,,,5,22
,,,2232,WOOD S J,9,8,4,,,2,,,,1,24
,,,4238,WOOD S J,13,4,,,1,6,,,,5,29
,,GR DES 33,2233,TANAKA BONITA R,10,5,1,,,2,,,,4,22
,,,4239,TANAKA BONITA R,13,2,,,,3,2,,,4,24
,,GR DES 34,2234,LANCASTER W F,13,4,5,,,1,,,1,3,27
,,,4240,LANCASTER W F,11,4,,,,5,,,,2,22
,,GR DES 35,2235,ROBINSON K C,10,6,2,1,,1,,,,6,26
,,,2236,GERDS D A,10,4,,1,,2,,,,5,22
,,,4241,ROBINSON K C,11,7,,2,,2,,,,4,26
,,GR DES 38,2237,BADUEL Z M,3,13,,1,,5,,,,3,25
,,,2238,BADUEL Z M,6,10,1,3,1,1,,,,2,24
,,,4242,BADUEL Z M,6,9,4,,1,3,,,,1,24
,,GR DES 41,2239,BADUEL Z M,9,5,1,,,,,,,4,19
,,,4243,BADUEL Z M,4,10,,,,,,,,5,19
,,GR DES 43,2240,TANAKA BONITA R,14,4,1,,,1,,,,2,22
,,GR DES 44,2241,MAZZARA E,10,6,2,,,,,,,3,21
,,GR DES 50,4244,DONON S G,11,3,,,,3,1,,,3,21
,,GR DES 51,4245,WARREN L S,12,8,3,1,,,,,,,24
,,GR DES 54,4246,MOODY J M,9,9,4,,,1,,,,3,26
,,GR DES 64,2242,LANCASTER W F,8,11,1,,,3,,,,3,26
,,,2243,KASRA M,10,6,5,1,,3,,,,5,30
,,,4247,LANCASTER W F,9,10,2,,,3,,,,,24
,,GR DES 65,2244,MACGILLIVRAY I J,11,3,2,2,,2,,,,5,25
,,,2245,CAVANAUGH J Y,16,1,1,,,2,,1,,8,29
,,,2246,CAVANAUGH J Y,3,2,,,,8,,,,8,21
,,,4248,MACGILLIVRAY I J,4,3,2,,,5,,,2,7,23
,,GR DES 66,2247,ZENHARI E F,3,1,2,3,,1,,,,9,19
,,,2248,CAVANAUGH J Y,8,5,,,,2,1,,,2,18
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 27 of 88,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Design Tech.,GR DES,GR DES 66,,4249,CAVANAUGH J Y,8,6,,,,2,,,5,21,
,,GR DES 67,,4250,CAVANAUGH J Y,16,2,1,,,3,,,1,23,
,,GR DES 71,,2249,ZENHARI E F,1,7,,2,,,,,7,17,
,,,,4251,GERDS E L,5,3,2,,,6,1,,3,20,
,,GR DES 90,,2251,LANCASTER W F,,,,,,,,1,,1,
,,GR DES 90,,2253,LANCASTER W F,,,,,,,,2,,2,
,INTARC,INTARC 28,,4263,OSAKA V,14,7,2,,,,,,1,24,
,,INTARC 30,,2338,BOCCADORI A A,18,4,2,,,2,,,4,30,
,,INTARC 31,,2339,FRAULINO C,11,4,,2,,1,,,3,21,
,,INTARC 32,,2340,JACOBS R E,4,8,5,3,,2,,,3,25,
,,INTARC 33,,4264,HAFT M M,11,6,3,1,,2,,,1,24,
,,INTARC 34,,2341,ADAIR J S,,8,1,2,,4,,,7,22,
,,INTARC 35,,2342,CORDOVA S A,11,10,,2,,1,,,,24,
,,,,2343,ROSE M L,4,2,,,,6,,1,3,16,
,,INTARC 36,,2344,BOCCADORI A A,11,9,2,,,3,,,2,27,
,,INTARC 37,,4265,GETZLER S L,9,7,,2,,,,,6,24,
,,INTARC 38,,2345,DOLAN H,7,3,1,2,,2,,,11,26,
,,INTARC 39,,4266,WANG D,3,8,1,1,,2,,,4,19,
,,INTARC 41,,2346,NOONAN I,4,9,4,1,,9,,,2,29,
,,INTARC 42,,4267,NOONAN I,3,7,3,2,1,4,1,,7,28,
,,INTARC 44,,4268,PRYZGODA K A,15,2,1,,,5,,,1,24,
,,INTARC 50,,2347,WOODS E A,21,,,,,,,,5,26,
,,INTARC 51,,2348,HUNT M O,10,2,,,1,4,1,,5,23,
,,INTARC 54,,2349,CORDOVA S A,5,2,,4,,3,,,1,15,
,,INTARC 57,,4269,TOOKE J L,7,10,,,,1,,,2,20,
,,INTARC 65,,3159,CAMENETI M A,10,3,3,,,5,,,3,24,
,,INTARC 70,,4270,BRENTON J A,10,5,1,1,,1,2,,1,21,
,,INTARC 90,,2351,CORDOVA S A,,,,,,,,2,,2,
,,INTARC 90,,2353,CORDOVA S A,,,,,,,,5,,5,
Disabl Stu Ct,COUNS,COUNS,1,1554,ADAMS J,5,2,4,3,1,2,,,10,27,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 28 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Disabl Stu Ct,COUNS,COUNS,1,1555,ZUCKER S S,4,6,,,3,,,1,4,18,
,,COUNS,1,1556,ADAMS J,6,3,2,,1,,,,2,14,
,,COUNS,2,1590,CUTLER E J,,,,,,,4,7,1,12,
,,COUNS,2,1591,CUTLER E J,,,,,,,1,4,,5,
,,COUNS,2,1592,CUTLER E J,,,,,,,,1,,1,
,,COUNS,2,1593,CUTLER E J,,,,,,,,4,,4,
,,COUNS,4,1594,ADAMS J,2,2,2,1,2,,,,,9,
,,COUNS,5,1597,JOHNSON A H,,,,,,,1,11,4,16,
,,COUNS,5,1598,JOHNSON A H,,,,,,,2,12,2,16,
,,COUNS,5,1599,AXELROD L,,,,,,,,10,4,14,
,,COUNS,5,1600,AXELROD L,,,,,,,,5,2,7,
,,COUNS,5,1601,TERUYA S,,,,,,,1,11,1,13,
,,COUNS,5,1602,MARCOPULOS G E,,,,,,,,4,1,5,
,,,,1603,MARCOPULOS G E,,,,,,,,6,2,8,
,,,,1604,LAU T Y,,,,,,,,3,,3,
,,,,1605,LAU T Y,,,,,,,1,3,,4,
,,,,1606,LAU T Y,,,,,,,,2,1,3,
,,,,1607,LAU T Y,,,,,,,,4,,4,
,,COUNS,5,1608,JOHNSON A H,,,,,,,1,4,1,6,
Earth Scienc,ANTHRO,ANTHRO,,1091,HARADON C M,15,11,4,,2,,,,1,33,
,,,,1092,HARADON C M,19,9,4,3,8,,2,1,4,50,
,,,,1093,RASHIDI J S,8,12,7,5,12,,,1,4,49,
,,,,1094,HARADON C M,6,10,10,4,8,,,,4,42,
,,,,1095,RASHIDI J S,9,6,8,6,11,,,,9,49,
,,,,1096,LEWIS B S,6,7,16,8,10,,,,,47,
,,,,1097,RASHIDI J S,10,5,8,6,12,,,,12,53,
,,,,4014,DENMAN J F,8,7,14,,5,,,1,3,38,
,,ANTHRO,,1098,ZANE W W,8,13,10,8,4,,,,4,47,
,,,,1099,GREBLER G,30,7,4,2,5,,,,4,52,
,,,,1100,MINZENBERG E G,18,6,3,,1,1,,,,29,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 29 of 88,,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Earth Scienc,ANTHRO,ANTHRO,1101,DENMAN J F,10,5,16,1,,1,2,,,4,39
,,,1102,DENMAN J F,9,9,23,1,,1,1,,1,1,46
,,,1103,MINZENBERG E G,17,15,4,5,,,,,,2,43
,,,1104,MINZENBERG E G,12,9,5,,,4,,,2,3,35
,,,4015,ZANE W W,7,6,5,5,,2,1,,,1,27
,,ANTHRO,1105,LEWIS B S,11,8,12,5,,4,1,,,7,48
,,,1106,LEWIS B S,6,15,10,4,,2,,,,7,44
,,,4016,LEWIS B S,4,11,3,9,,4,1,,,7,39
,,ANTHRO,1107,LEWIS B S,5,8,8,4,,7,2,,,8,42
,,ANTHRO,1108,AUSTIN J K,2,4,9,8,,10,,1,,,34
,,,1109,AUSTIN J K,6,9,10,3,,3,,,1,,32
,,,1110,GAULD S C,5,7,4,2,,3,,1,,5,27
,,,4017,GAULD S C,2,6,5,2,,1,,,1,5,22
,,ANTHRO,1111,RAY S,20,2,2,,,6,,1,,10,41
,,ANTHRO,1112,GAULD S C,6,11,4,4,,2,,,,6,33
,,ANTHRO 1,1113,MINZENBERG E G,16,11,10,1,,6,,,,2,46
,,ANTHRO 2,1114,MINZENBERG E G,6,9,7,5,,6,,,,3,36
,,ANTHRO 2,1115,ZANE W W,9,9,13,4,,1,,,,2,38
,ASTRON,ASTRON,1181,BALM S P,10,20,20,2,,1,,,,3,56
,,,1182,FOUTS G A,4,5,14,10,,8,,,,7,48
,,,4036,SCHWARTZ M J,8,21,8,,,7,1,,,3,48
,,,4037,SCHWARTZ M J,4,18,10,,,9,,,,7,48
,,ASTRON,1183,BALM S P,6,22,18,2,,5,,,,2,55
,,,1184,BALM S P,8,19,11,1,,5,,,1,5,50
,,,1185,SCHWARTZ M J,11,18,12,,1,5,,,,1,48
,,,4038,SCHWARTZ M J,16,11,12,,,2,1,,,,42
,,,4039,SALAMA A H,5,7,6,,,8,,,,7,33
,,ASTRON,1186,FOUTS G A,1,11,10,2,,2,,,1,3,30
,,,1187,FOUTS G A,5,9,8,1,,3,,,,1,27
,,ASTRON,1188,FOUTS G A,6,6,11,3,,4,,,1,2,33
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 30 of 88,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Earth Scienc,ASTRON,ASTRON,1189,SCHWARTZ M J,16,20,7,,,3,,,,2,48
,,,4040,SCHWARTZ M J,16,16,4,,,7,1,,2,6,52
,,,4041,BALM S P,6,19,12,2,,3,,1,2,5,50
,CIS,CIS,20,4088,DRAKE V G,,,1,,1,,1,,1,4
,ENERGY,ENERGY,1,4140,COOLEY S,6,3,5,,2,,,,6,22
,,ENERGY,2,1753,COOLEY S,7,4,3,3,9,,,,6,32
,ENVRN,ENVRN,7,4187,SELBY W A,18,9,5,3,3,,,,1,39
,ERTHSC,ERTHSC 8,2046,DRAKE V G,5,,,,,,1,,,,6
,,ERTHSC 8,2047,DRAKE V G,3,,,,,,,,,,3
,,ERTHSC 8,3225,DRAKE V G,1,,,,,,,,,,1
,GEOG,GEOG,1,2200,KRANZ J,7,11,10,4,1,,,,4,37
,,,2201,YOUNG B C,7,8,7,4,,13,,,,3,42
,,,2202,YOUNG B C,1,9,12,6,1,11,,,,6,46
,,,4229,PATRICH J G,21,8,7,1,,5,,,,6,48
,,GEOG,2,2203,MORRIS P S,10,5,7,4,2,,,,7,35
,,,2204,MORRIS P S,6,7,13,4,,2,1,,,5,38
,,,2205,ABATE A,5,7,17,6,,4,,,,3,42
,,GEOG,3,2206,SELBY W A,6,7,11,6,3,,,1,3,37
,,,2207,KRANZ J,10,8,8,1,,5,,1,1,5,39
,,GEOG,5,2208,SELBY W A,10,8,5,1,,,,1,2,27
,,,2209,HACKELING J,11,13,4,2,,3,1,,1,2,37
,,,2210,DRAKE V G,10,12,8,1,,2,,,2,2,37
,,,4230,ZACKEY J W,30,3,5,,,,,1,4,1,44
,,GEOG,7,4231,SELBY W A,11,3,8,,1,,,,,23
,,GEOG,8,2211,MORRIS P S,5,1,1,1,,,,,7,15
,,GEOG,11,2212,MORRIS P S,7,3,5,1,,,,,4,20
,,,2213,ABATE A,2,6,4,1,,3,,,1,2,19
,,GEOG,14,2214,DRAKE V G,4,9,7,2,6,,,,11,39
,,,2215,SELBY W A,11,5,16,3,,7,,,,4,46
,,GEOG,20,4232,DRAKE V G,3,,,,1,,1,,3,8
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 31 of 88,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Earth Scienc,GEOG,GEOG,35,2216,SELBY W A,11,2,,,3,1,,,7,24,
,GEOL,GEOL,1,2217,ROBINSON R C,8,18,11,,4,,,1,2,44,
,,,,4233,OKBAMICHAEL M,10,13,8,1,3,,,,2,37,
,,,,4487,GANEV P N,7,3,10,3,3,,,1,8,35,
,,GEOL,4,2219,KREMENETSKI K V,15,6,12,,,,,2,1,36,
,,GEOL,5,4234,GRIPPO A,3,7,6,1,3,,,3,3,26,
,,GEOL,31,2220,KREMENETSKI K V,10,12,16,4,,1,,1,3,47,
,,,,2221,GRIPPO A,7,9,12,5,3,,,1,1,38,
,GIS,GIS,20,4236,DRAKE V G,4,2,1,,1,,,,4,12,
,GLOBAL,GLOBAL 1,,3164,MORRIS P S,1,2,3,,,,,,1,7,
,,,,3165,ABATE A,2,1,2,1,4,,,,2,12,
,PV,PV,1,4444,COOLEY S,10,8,6,,,,,,5,29,
,,,,4445,COOLEY S,6,2,1,1,10,,,,2,22,
,,PV,2,3004,BURNS R M,6,3,3,,3,,,,1,16,
,,,,4494,BURNS R M,5,10,2,1,,,,,3,21,
,RRM,RRM,1,3007,ALDRIDGE J L,18,8,4,,8,,,,1,39,
,,RRM,2,4450,BERTONE G M,15,11,5,,12,,,1,1,45,
,,RRM,3,3008,BERTONE G M,23,4,,,4,,,,2,33,
,,RRM,4,4451,BERTONE G M,23,2,3,,,,,,4,32,
,URBAN,URBAN,8,3135,MORRIS P S,4,5,3,2,,,,,5,19,
Education/E,ECE,ECE,2,1697,DOPHNA G R,23,5,1,,5,,,,5,39,
,,,,1698,SPAIN E A,19,6,2,,3,,,,6,36,
,,,,1699,SPAIN E A,15,7,1,,1,,,,15,39,
,,,,1700,MANSON L J,27,4,2,1,1,,,,2,37,
,,,,1701,POURROY D M,22,7,1,,3,,,,3,36,
,,,,4122,SPAIN E A,19,3,,,3,,,,5,30,
,,ECE,4,1702,DOPHNA G R,12,6,3,,6,,,,6,33,
,,,,4123,DOPHNA G R,22,2,1,,,,,,8,33,
,,ECE,5,1703,DOPHNA G R,18,8,1,,2,,,,5,34,
,,ECE,8,1704,LIVINGSTON S A,17,5,4,1,8,,,,4,39,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 32 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Education/E,ECE,ECE,11,1705,TAMBE J,22,11,3,1,3,,,,2,42,
,,,,1706,TANNATT M G M,9,4,2,2,4,,,,5,26,
,,,,1707,MANSON L J,27,8,1,,1,,,,,37,
,,,,1708,TANNATT M G M,10,11,3,1,2,,,,5,32,
,,,,3187,LERNER N F,13,5,4,,1,,,,,23,
,,ECE,17,1709,MANSON L J,27,2,2,,1,,,,3,35,
,,ECE,18,1710,GOODFELLOW C A,2,5,5,4,1,,,,4,21,
,,,,4124,BEANS T L,8,7,2,,1,,,,2,20,
,,ECE,19,1711,MANSON L J,24,2,,,1,,,,4,31,
,,,,4125,DRUKER S L,5,6,5,2,8,,,,2,28,
,,ECE,21,1712,DOPHNA G R,24,3,,1,,,,,2,30,
,,,,4126,LIVINGSTON S A,18,6,1,,2,,,,6,33,
,,ECE,22,4127,MCGRATH M T,16,2,,,,2,,,2,22,
,,,,4128,BACKLAR N P,5,,,,1,,,,4,10,
,,ECE,23,4129,KARAOLIS O,5,2,,,1,,,,1,9,
,,ECE,41,1713,GUNN A C,7,12,5,1,2,,,,2,29,
,,ECE,43,1714,MANSON L J,18,3,3,,2,,,,4,30,
,,ECE,45,1715,PARISE W A,11,6,8,3,3,,,,3,34,
,,,,4130,JOACHIM S L,14,11,4,,,,,,4,33,
,,ECE,46,4131,MCGRATH M T,14,6,4,,3,,,,6,33,
,,ECE,52,4132,KHOKHA E W,13,2,1,1,4,,,,13,34,
,,ECE,64,1716,POURROY D M,23,6,2,1,,,,,1,33,
,,,,1717,GUNN A C,19,9,1,,1,,,,1,31,
,,ECE,70,4133,MCGRATH M T,14,6,,,3,,,,3,26,
,,ECE,88B,1719,PARISE W A,1,,,,,1,,,,2,
,EDUC,EDUC,1,4139,PEREZ L,5,6,4,1,5,,,,6,27,
,,EDUC,2,1752,TALLEDA M L,8,4,3,,4,,,,4,23,
English,ENGL,ENGL,1,1754,BRIGSTOCKE J W,5,12,,,7,,,,2,26,
,,,,1755,ZEHR D M,7,13,6,5,1,,,,5,37,
,,,,1756,BRIGSTOCKE J W,5,15,,,10,,,,4,34,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 33 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,1,1757,DRISCOLL L V,16,3,7,,,,,,,26,
,,,,1758,GARNICA A M,4,1,1,4,8,,,,2,20,
,,,,1759,GILDNER B J,1,4,4,12,,,,,4,25,
,,,,1760,STIRLING M S,2,8,5,4,2,,,,4,25,
,,,,1761,HERBERT S,2,14,10,2,5,,,,6,39,
,,,,1762,WATTS J W,11,16,7,1,,,,,3,38,
,,,,1763,BRIGSTOCKE J W,1,11,1,,16,,,,6,35,
,,,,1764,HERTZ U L,3,4,6,1,,,,,10,24,
,,,,1765,MENTON K T,5,11,11,1,3,,,,5,36,
,,,,1766,LEGRANDE E,21,4,2,,3,,,,,30,
,,,,1767,RICE M,3,2,3,2,,,,,8,18,
,,,,1768,BONAR H S,5,7,3,3,4,1,,,2,25,
,,,,1769,DONALDSON C R,6,6,1,,2,,,,8,23,
,,,,1770,TYSON T L,5,5,3,1,3,,,,7,24,
,,,,1771,KAUFFMAN S R,22,2,2,,2,1,,,3,32,
,,,,1772,MINAMI A M,2,5,5,2,7,,,,8,29,
,,,,1773,PADILLA M R,7,4,6,,7,1,,,3,28,
,,,,1774,ESPINOSA A A,2,11,4,2,2,,,,3,24,
,,,,1775,GILDNER B J,,6,4,10,,,,,4,24,
,,,,1776,DRISCOLL L V,13,8,7,,3,,,,2,33,
,,,,1777,STIRLING M S,4,5,7,3,3,,,,1,23,
,,,,1778,IRELAND S P,15,10,2,2,,,,,1,30,
,,,,1779,HERBERT S,3,11,8,3,6,,,,1,32,
,,,,1780,FONSECA M L,3,2,3,2,,,,,12,22,
,,,,1781,MATTESSICH S N,13,14,4,,2,,,1,4,38,
,,,,1782,MENTON K T,4,8,10,,7,,,,7,36,
,,,,1783,LEGRANDE E,26,2,,,,,,,2,30,
,,,,1784,WINKLER K D,17,7,1,,,,,,1,26,
,,,,1785,GARNICA A M,2,6,4,2,7,1,,,2,24,
,,,,1786,BLACKWELL N,8,8,5,2,2,,,,4,29,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 34 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,1,1787,ZEHR D M,4,13,5,3,1,,,,,26,
,,,,1788,BRYER E J,5,13,4,1,3,1,,,1,28,
,,,,1789,WINKLER K D,5,15,3,1,,,,,4,28,
,,,,1790,GOODE S S,6,7,2,,4,,,,6,25,
,,,,1791,HERTZ U L,4,4,9,2,,,,,5,24,
,,,,1792,RICE M,4,5,5,1,,,,,9,24,
,,,,1793,KARRON R,7,17,1,1,,,,1,,27,
,,,,1794,MCQUEENEY E P,10,10,1,1,,,,,2,24,
,,,,1795,BURAK C D,8,9,3,1,,,,,5,26,
,,,,1796,SOLOTAR M,2,1,1,,4,,,,10,18,
,,,,1797,WILL L J,11,10,2,1,1,2,,,,27,
,,,,1798,PACCHIOLI J J,7,10,11,,5,,,,5,38,
,,,,1799,EDELMANN C,7,9,3,1,1,,,,3,24,
,,,,1800,OVERALL S J,1,9,6,4,,,,,7,27,
,,,,1801,ENGELMANN D S,12,8,6,,1,,,,8,35,
,,,,1802,KRUSOE J A,,12,13,2,,,,,10,37,
,,,,1803,PACCHIOLI J J,2,9,10,1,1,,,,12,35,
,,,,1804,WATTS J W,17,15,2,,1,,,,3,38,
,,,,1805,MATTESSICH S N,14,9,7,,5,,,,5,40,
,,,,1806,ARMS E D,9,14,1,,,,,,2,26,
,,,,1807,CAGGIANO S E,4,12,2,4,1,,,,3,26,
,,,,1808,OVERALL S J,,7,7,7,,,,,4,25,
,,,,1809,SIMPSON L E,13,10,3,1,1,,,,7,35,
,,,,1810,WILL L J,6,8,5,,2,2,,,6,29,
,,,,1811,KEMPER D E,5,5,6,,4,,,,6,26,
,,,,1812,ENGELMANN D S,11,10,4,,3,,,,5,33,
,,,,1813,KRUSOE J A,4,8,11,5,,,,,7,35,
,,,,1814,MEEKS C,8,4,2,1,5,,,,6,26,
,,,,1815,REMMES J,1,7,2,6,10,,,,8,34,
,,,,1816,REMMES J,3,3,7,7,6,,,,8,34,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 35 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,1,1817,PHILLIPS L K,8,7,4,2,,,,,1,22,
,,,,1818,OBA R K,5,11,5,1,,,,,3,25,
,,,,1819,HANSEN N C,12,11,1,,11,,,,1,36,
,,,,1820,DAVIS C V,4,5,8,,3,1,,,4,25,
,,,,1821,AGHABEGIAN DIANA E,7,8,1,2,1,,,,2,21,
,,,,1822,DEL GEORGE D K,5,2,2,2,4,,,,5,20,
,,,,1823,DEL GEORGE D K,2,2,2,,6,,,,1,13,
,,,,1824,CRAMER T R,6,7,,1,3,,,,4,21,
,,,,1825,CRAMER T R,4,3,1,1,3,,,,5,17,
,,,,1826,CRAMER T R,10,3,3,1,2,,,,2,21,
,,,,1827,AGHABEGIAN DIANA E,5,10,2,,1,,,,2,20,
,,,,1828,REICHLE R E,5,2,2,1,9,,,,6,25,
,,,,1829,LYNCH J J,7,9,3,,3,,,,1,23,
,,,,1830,LYNCH J J,5,9,1,1,6,,,,2,24,
,,,,3157,DEL GEORGE D K,3,5,1,,5,,,,1,15,
,,,,3160,MORGAN D H,3,4,2,3,9,,,,7,28,
,,,,3192,BONAR H S,3,7,2,2,7,,,,5,26,
,,,,3197,MEIR N K,8,6,1,4,1,,,,3,23,
,,,,4141,PADILLA M R,15,6,6,1,3,,,,2,33,
,,,,4142,MOTOIKE K J,8,3,1,5,7,,,1,2,27,
,,,,4143,LANE P D,16,3,,1,,,,,4,24,
,,,,4144,KAPLAN M A,10,7,3,,,,,,2,22,
,,,,4146,SOSNER J A,9,9,3,,3,,,,1,25,
,,,,4147,EDELMANN C,4,6,2,5,1,,,,4,22,
,,,,4148,SOSNER J A,8,8,3,2,5,,,,1,27,
,,,,4149,MOTOIKE K J,5,2,7,1,7,,,,4,26,
,,ENGL,2,1832,FONSECA M L,8,9,6,1,,,,,3,27,
,,,,1833,ESPINOSA A A,5,10,4,,2,,,,4,25,
,,,,1834,IRELAND S P,13,16,4,1,,,,,,34,
,,,,1835,YOUNG W H,4,7,7,1,1,,,,3,23,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 36 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,2,1836,ARIEFF D E,13,10,,,1,,,,2,26,
,,,,1837,HERBERT S,1,10,8,3,5,,,,,27,
,,,,1838,PADILLA M R,7,15,4,,3,1,,,2,32,
,,,,1839,CAGGIANO S E,5,12,3,3,1,,,,3,27,
,,,,1840,BONAR H S,11,6,3,1,3,,,,2,26,
,,,,1841,BOSTICK J D,12,6,1,1,,3,,,2,25,
,,,,1842,BOSTICK J D,15,10,1,2,,,,,,28,
,,,,1843,HANSEN N C,6,2,6,1,1,2,,,6,24,
,,,,1844,DRISCOLL L V,25,,,,,,,,1,26,
,,,,1845,IRELAND S P,25,9,,,,,,,1,35,
,,,,1846,NORSTRAND J J,6,14,3,1,,,,,5,29,
,,,,1847,HERBERT S,1,10,7,,6,,,,3,27,
,,,,1848,YOUNG R U,4,15,4,,,,,,3,26,
,,,,1849,BRIGSTOCKE J W,5,14,,,5,,,,1,25,
,,,,1850,WATTS J W,8,19,,,,,,,2,29,
,,,,1851,JU S,3,9,9,2,1,,,,2,26,
,,,,1852,FUCHS C A,4,6,5,4,3,,,,3,25,
,,,,1853,DOSSETT G H,6,9,4,1,2,,,,3,25,
,,,,1854,STEIN J A,3,15,3,6,,,,,1,28,
,,,,1855,PADILLA E,4,9,8,,1,,,,4,26,
,,,,1856,ANDERSON E,12,5,5,,2,,,,1,25,
,,,,1857,BRIGSTOCKE J W,6,14,1,,3,,,,3,27,
,,,,1858,SOSNER J A,14,6,5,,2,,,,,27,
,,,,1859,SIMPSON L E,15,7,1,1,,,,,1,25,
,,,,1860,YOUNG R U,6,7,9,,1,,,,5,28,
,,,,1861,GILDNER B J,5,10,7,1,2,,,,3,28,
