Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,,3555,CARDENAS N,,,,,,,,32,4,,36,
,,COUNS,11,1587,OCAMPO A C,,,,,,,12,28,3,,43,
,,,,1592,STEVENSON K,,,,,,,4,33,1,,38,
,,,,1591,HOLMES C K,,,,,,,1,30,,,31,
,,,,1590,KLINEMAN M S,,,,,,,3,18,1,,22,
,,,,1589,HERRSCHAFT A C,,,,,,,6,34,1,,41,
,,,,1588,STEVENSON K,,,,,,,3,35,1,,39,
,,,,1586,FINCH L A,,,,,,,2,37,,,39,
,,,,1585,WANG A C,,,,,,,8,31,,,39,
,,,,1584,TRUONG L,,,,,,,9,29,,,38,
,,,,1583,MIRANDA M L,,,,,,,11,25,3,,39,
,,,,1581,HERNANDEZ MA,,,,,,,5,22,5,,32,
,,,,1582,SUEKAWA L,,,,,,,1,31,2,,34,
,,COUNS,12,1602,GAUSMAN J M,23,6,3,2,3,,,,,,37,
,,,,4111,AMIRIAN S,16,8,1,,4,,,,12,,41,
,,,,4110,AMIRIAN S,15,2,2,1,4,,,,4,,28,
,,,,4109,LAM J,18,2,2,,5,,,1,6,,34,
,,,,,,,,,,,,,,Page 30 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Counseling,COUNS,COUNS,12,4108,LAM J,20,1,1,1,2,,,,3,,28,
,,,,1604,RUIZ J,22,3,,,,,,,3,,28,
,,,,1605,RUIZ J,19,1,1,2,2,,,,5,,30,
,,,,4112,DAVY K L,27,4,,,,,,,,,31,
,,,,1603,GAUSMAN J M,27,5,1,1,4,,,,1,,39,
,,,,1600,COHN-SCHNEIDER R,25,3,3,,1,,,,1,,33,
,,,,1599,NELLA M C,19,2,5,1,2,,,,9,,38,
,,,,1598,MARSDEN A L,15,2,4,1,3,,,,8,,33,
,,,,1597,MARSDEN A L,16,8,,1,1,,,1,2,,29,
,,,,1596,GARCIA C J,18,5,3,,2,,1,,8,,37,
,,,,1595,GARCIA C J,22,3,1,,1,,,,2,,29,
,,,,1594,BANKS D D,16,2,1,1,2,,,,17,,39,
,,,,1593,BANKS D D,9,7,6,2,5,,,,2,,31,
,,,,1601,COHN-SCHNEIDER R,22,3,,,3,,1,,7,,36,
,,,,1606,DAVY K L,36,1,,,,,,,2,,39,
,,COUNS,15,1609,DAVY K L,44,,,,,,,,5,,49,
,,,,4113,DAVY K L,32,,,,,1,,,8,,41,
,,COUNS,16,1611,NELLA M C,9,5,1,1,3,,,,8,,27,
,,COUNS,20,1657,MILLER S,8,2,4,2,9,,,,8,,33,
,,,,1661,FINLEY S F,19,2,4,4,4,,,,4,,37,
,,,,1660,QUINTANILLA J V,13,8,3,4,3,,,,2,,33,
,,,,1659,HAYWARD J A,19,6,2,1,3,,,,2,,33,
,,,,1658,DAHLENBURG T,17,4,1,3,3,,,,4,,32,
,,,,1650,CARRILLO-SARR S,11,6,5,5,5,,,,5,,37,
,,,,1662,FINLEY S F,18,6,2,,4,,,,9,,39,
,,,,,,,,,,,,,,Page 31 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Counseling,COUNS,COUNS,20,1656,ADKINS L B,9,8,4,2,1,,,,8,,32,
,,,,1655,DAHLENBURG T,16,4,4,5,3,,,,6,,38,
,,,,1654,HAYWARD J A,14,12,6,3,1,,,,3,,39,
,,,,1653,QUINTANILLA J V,11,7,6,2,2,,,,6,,34,
,,,,1663,FELIX J,8,7,5,,7,,,,3,,30,
,,,,1651,DAVIS T D,17,4,4,,7,,,,3,,35,
,,,,1619,GALINDO O A,10,10,3,3,2,,,,7,,35,
,,,,1649,DAHLENBURG T,13,6,6,4,2,,,,5,,36,
,,,,1648,HANSON N J,16,10,3,3,4,,,,2,,38,
,,,,1652,SANCHEZ G E,27,3,6,1,,,,,2,,39,
,,,,4115,MEZA L,7,8,7,5,2,,,,6,,35,
,,,,1647,HACKETT C D,12,8,13,7,5,,,,7,,52,
,,,,4122,MARTIN-TUNGPALA N,8,1,3,1,6,,,,4,,23,
,,,,,K,,,,,,,,,,,,
,,,,4121,ADKINS L B,13,10,,1,3,,,,6,,33,
,,,,4120,STEWART S,13,4,2,,9,,,,4,,32,
,,,,4119,MARTIN-TUNGPALA N,8,4,5,3,6,,,,5,,31,
,,,,,K,,,,,,,,,,,,
,,,,4118,NJOKU R,7,7,6,1,6,,,,7,,34,
,,,,1669,HALL T T,14,5,3,1,,,,1,2,,26,
,,,,4116,LEWIS M L,4,2,6,6,6,,,,3,,27,
,,,,1664,HALL T T,18,2,3,,,,,,3,,26,
,,,,4114,ADKINS L B,11,5,5,6,1,,,,2,,30,
,,,,1670,NAKAO P O,12,5,3,,2,,,,8,,30,
,,,,1668,HALL T T,14,3,1,,2,,,,6,,26,
,,,,1667,NAKAO P O,10,4,3,1,2,,,,7,,27,
,,,,,,,,,,,,,,Page 32 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Counseling,COUNS,COUNS,20,1666,FELIX J,5,11,4,2,6,,,,5,,33,
,,,,1665,FELIX J,5,10,4,2,3,,,,3,,27,
,,,,4117,MARTIN-TUNGPALA N,6,4,3,1,3,,,,10,,27,
,,,,,K,,,,,,,,,,,,
,,,,1621,ACOSTA R M,22,6,4,,,,,,,,32,
,,,,1628,FINLEY S F,11,2,6,,,,,,12,,31,
,,,,1627,NUNEZ-MASON R E,11,12,4,2,1,,,,3,,33,
,,,,1626,JACKSON A E,16,4,2,3,3,,,,5,,33,
,,,,1625,HERNANDEZ Y O,18,3,3,2,1,,,,7,,34,
,,,,1624,LEWIS M L,8,3,5,2,8,,,1,6,,33,
,,,,1623,LEWIS M L,15,2,5,3,6,1,,,3,,35,
,,,,1629,VALLEJO O,8,5,2,,4,,,,11,,30,
,,,,1620,FINCH L A,21,3,2,3,,,,,4,,33,
,,,,1616,BANUELOS M,9,6,4,,1,,,,4,,24,
,,,,1618,GONZALEZ B M,4,8,3,5,11,,,,4,,35,
,,,,1617,CARRILLO-SARR S,16,2,3,1,3,,,,5,,30,
,,,,1615,VALENTINE D,7,8,9,,3,,,,9,,36,
,,,,1646,CARRILLO-SARR S,16,4,4,2,5,,,,9,,40,
,,,,1613,GALINDO O A,7,4,4,2,7,,,1,9,,34,
,,,,1612,GALINDO O A,2,3,3,2,7,,,,17,,34,
,,,,1622,BACCUS C C,2,10,5,1,1,,,,11,,30,
,,,,1640,TREJO A D,20,5,4,1,3,,,,7,,40,
,,,,1645,COOPER D J,18,9,,,2,,,,6,,35,
,,,,1644,JOHNSON GL,13,10,7,6,,,,,5,,41,
,,,,1643,GONZALEZ B M,5,12,8,4,10,,1,,3,,43,
,,,,,,,,,,,,,,Page 33 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Counseling,COUNS,COUNS,20,1642,COOPER D J,27,3,2,2,,,,,3,,37,
,,,,1630,SANCHEZ G E,12,5,3,4,2,,,,9,,35,
,,,,1641,VALENTINE D,11,9,3,5,,,,,7,,35,
,,,,1639,FINCH L A,29,7,3,1,1,,,,2,,43,
,,,,1638,JACKSON A E,16,6,4,4,5,,,,2,,37,
,,,,1637,TILLEY ROSILYNN E,11,8,3,4,,,,,7,,33,
,,,,1636,TREJO A D,22,3,4,1,1,,,,3,,34,
,,,,1635,TRAN J,13,7,8,7,3,,,,3,,41,
,,,,1634,COOPER D J,18,7,6,1,1,,,,4,,37,
,,,,1633,VALENTINE D,16,8,5,4,,1,,,7,,41,
,,,,1632,TREJO A D,12,5,8,2,3,,,,4,,34,
,,,,1631,GONZALEZ B M,15,4,5,1,4,,,,8,,37,
,,,,1614,GALINDO O A,15,2,6,5,5,,,2,10,,45,
,,COUNS,88A,1689,FELIX J,1,,,,,,,,,,1,
,,COUNS,88C,3607,HANSON N J,1,,,,,,,,,,1,
,,COUNS,90A,1692,ROTHMAN V J,,,,,,,2,22,,,24,
,,COUNS,90B,1693,ROTHMAN V J,,,,,,,2,6,2,,10,
,,COUNS,90C,1694,ROTHMAN V J,,,,,,,1,11,,,12,
,,COUNS,90D,1695,ROTHMAN V J,,,,,,,2,8,,,10,
Dance,DANCE,DANCE,2,1730,GONZALEZ G,47,3,,,,,,,1,,51,
,,,,1731,DOUGLAS JUDITH G,43,38,6,10,12,,,1,4,,114,
,,,,1732,GONZALEZ G,41,8,,1,,,,,2,,52,
,,,,4505,GONZALEZ G,43,4,,1,,,,,2,,50,
,,DANCE,5,1733,TOMASIC M T,2,7,2,2,3,,,,5,,21,
,,,,1734,DOUGLAS JUDITH G,36,43,18,6,3,,,,10,,116,
,,,,,,,,,,,,,,Page 34 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Dance,DANCE,DANCE,5,1735,LEE J Y,5,6,3,5,2,,,,8,,29,
,,,,1736,LEE J Y,6,5,5,3,8,,,,10,,37,
,,DANCE,10,1738,MOE B E,5,5,1,,,,,,10,,21,
,,,,1739,WOLIN-TUPAS R L,11,5,,,,,,,6,,22,
,,,,1737,AYBAY OWENS S,5,6,,,1,,,,7,,19,
,,DANCE,14,3587,JORDAN A N,1,1,,,1,,,,2,,5,
,,,,1740,GANDHI S N,7,1,1,1,2,,,1,5,,18,
,,DANCE,15,1742,JORDAN A N,8,4,,2,1,,,,8,,23,
,,DANCE,17,1743,GANDHI S N,4,3,1,,,,,,2,,10,
,,DANCE,18,3485,GANDHI S N,2,,1,,,,,,1,,4,
,,DANCE,20,1744,JESSWEIN J N,5,1,,,4,,,,2,,12,
,,,,4139,CANELLIAS L M,4,5,1,3,7,,,1,8,,29,
,,DANCE,21,1745,SUSILOWATI S,9,3,,1,,1,,1,2,,17,
,,DANCE,22,1746,RAMIREZ R V,4,3,2,1,5,,,,1,,16,
,,DANCE,23,1747,RAMIREZ R V,1,,1,,,,,,,,2,
,,DANCE,24,1748,OCAMPO C,7,2,,3,2,,,,5,,19,
,,DANCE,25,1749,JORDAN A N,11,7,3,2,4,,,,5,,32,
,,DANCE,31,1750,MOLNAR CY A,15,5,1,2,1,,1,,7,,32,
,,,,1751,DEISS K A,5,6,4,3,2,,,,6,,26,
,,,,1752,MOLNAR CY A,7,5,1,1,4,,1,,7,,26,
,,,,1753,MOE B E,4,2,1,1,3,,,,7,,18,
,,,,1754,RICHARDS C R,14,6,2,,1,,,,6,,29,
,,DANCE,32,1755,MOLNAR CY A,11,4,4,1,6,,1,,1,,28,
,,,,1756,DEISS K A,1,1,2,2,5,,1,,2,,14,
,,,,4140,RICHARDS C R,8,3,1,,,,,,8,,20,
,,,,,,,,,,,,,,Page 35 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Dance,DANCE,DANCE,33,1757,DEISS K A,3,2,2,,,,,,2,,9,
,,,,1758,TOMASIC M T,3,3,2,1,6,,,,4,,19,
,,DANCE,34,1759,DEISS K A,2,,,1,,,,,3,,6,
,,,,1760,TOMASIC M T,3,,1,1,,,,,2,,7,
,,DANCE,35,1761,LEE J Y,6,5,1,1,2,,,,2,,17,
,,DANCE,36,1762,LEE J Y,2,,1,,,,,,4,,7,
,,DANCE,41,1764,KONDRATH J M,13,1,1,,,,,,5,,20,
,,,,1765,AYBAY OWENS S,11,4,,3,,,,1,9,,28,
,,,,1766,JORDAN A N,7,5,3,2,,,,1,9,,27,
,,,,1767,MCDONALD K E,5,2,,4,,1,,,1,,13,
,,,,1768,BENDER M M,6,1,1,1,,,,,4,,13,
,,DANCE,42,1771,MCDONALD K E,4,3,1,,,,,,4,,12,
,,,,1770,KONDRATH J M,14,2,1,,,,,,5,,22,
,,DANCE,43,1772,AYBAY OWENS S,5,,,,,,,,1,,6,
,,,,1773,TOMASIC M T,2,5,2,1,,,,,4,,14,
,,DANCE,44,1774,ALLEN A M,4,,,1,,,,,2,,7,
,,,,1775,TOMASIC M T,5,1,2,,,,,,1,,9,
,,DANCE,45,1776,MCDONALD K E,5,5,,,,,,1,2,,13,
,,DANCE,46,1777,MCDONALD K E,1,2,,,,1,,,,,4,
,,DANCE,55A,1778,LEE J Y,19,4,1,,,,,,1,,25,
,,DANCE,57A,4141,RAMIREZ R V,14,10,4,,,,,,3,,31,
,,DANCE,59A,3619,WALKER C Y,20,,,,,,,,,,20,
,,DANCE,60,4142,WOLIN-TUPAS R L,13,1,,,,,,,2,,16,
,,DANCE,61,4143,WOLIN-TUPAS R L,5,,,,,,,,4,,9,
,,DANCE,70,1779,LEE J Y,12,1,,,,,,,1,,14,
,,,,,,,,,,,,,,Page 36 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Dance,DANCE,DANCE,70,1780,RAMIREZ R V,14,1,1,,,,,,2,,18,
,,DANCE,88A,1782,DOUGLAS JUDITH G,11,2,,,,,,,,,13,
,,DANCE,88B,1784,DOUGLAS JUDITH G,5,,,,,,,,,,5,
Design,ET,ET,2,2325,KEESHEN J F,17,11,6,,,,,,4,,38,
Technology,,,,,,,,,,,,,,,,,
,,,,4208,KEESHEN J F,13,15,1,,,,,,9,,38,
,,ET,11,3605,JAVELOSA D A,7,1,1,3,,,,,6,,18,
,,,,4209,JAVELOSA D A,12,5,2,1,,,,,5,,25,
,,ET,15,4210,HUSSAIN W,4,3,3,1,6,,,,5,,22,
,,ET,18,2326,KLAUTKY E K,12,5,1,,,,,,3,,21,
,,,,2327,KEESHEN J F,7,9,3,,,,,,1,,20,
,,ET,19A,2328,BROWN S S,18,2,,,,,,,5,,25,
,,ET,19B,2329,DAVIS J A,7,16,,,,,,1,2,,26,
,,ET,20,2330,KEESHEN J F,3,7,3,,,1,,,6,,20,
,,ET,24,2331,FARRE-TORRENTS R,6,6,4,5,,,,,6,,27,
,,,,2332,FRIA C T,8,10,1,1,,,,,3,,23,
,,ET,24B,3524,KIM JO S,5,3,1,4,2,,,,3,,18,
,,ET,24C,4485,WILLIAMS V J,7,9,2,1,1,,,,3,,23,
,,ET,25,4211,WILLIAMS V J,20,,,2,,,,,2,,24,
,,ET,25B,2334,CHOI Y,2,4,3,1,3,,,,4,,17,
,,ET,25C,2335,FRIA C T,5,,2,3,5,,,,8,,23,
,,ET,26,2336,WILLIAMS V J,8,4,1,,,,,1,4,,18,
,,ET,31A,2337,LOUIE W B,13,10,,2,,,,,3,,28,
,,,,2338,LOUIE W B,10,6,1,,,,,,9,,26,
,,,,2339,LOUIE W B,10,11,3,,,,,,3,,27,
,,,,,,,,,,,,,,Page 37 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Design,ET,ET,31A,4212,LOUIE W B,12,7,3,1,,,,,,,23,
Technology,,,,,,,,,,,,,,,,,
,,ET,31B,2341,LOUIE W B,7,5,2,1,,1,,,7,,23,
,,,,2340,LOUIE W B,10,3,2,3,2,,,,5,,25,
,,ET,32,4213,UZAN D,2,6,1,1,,,,,8,,18,
,,ET,33,4214,ZIEGELMAN T M,2,5,1,1,2,,,,6,,17,
,,ET,34,2342,ROTBLATT S J,8,3,1,4,,,,,3,,19,
,,ET,37,2343,DUGANNE J A,6,2,3,8,,,,,5,,24,
,,,,4215,CAMENETI M A,3,4,1,3,8,,,,5,,24,
,,ET,38,2344,DUGANNE J A,6,5,,1,,,,,4,,16,
,,ET,40,2345,BEASLEY F,5,8,4,,,,,,6,,23,
,,,,2346,JAVELOSA D A,14,4,2,3,,,,,1,,24,
,,ET,42,2348,JAVELOSA D A,11,7,4,1,1,,,,,,24,
,,,,2349,JAVELOSA D A,12,5,2,1,1,,,,4,,25,
,,ET,44,2350,JAVELOSA D A,8,7,4,2,2,,,,4,,27,
,,ET,49,3601,HUSSAIN W,5,3,5,1,,,,,6,,20,
,,ET,60,2351,LOUIE W B,7,2,1,1,1,1,,,2,,15,
,,ET,61,2352,POIRIER N P,28,2,,,,,,,1,,31,
,,,,2353,WINFREY A M,12,8,4,1,3,,,,4,,32,
,,ET,72,2354,NAGEL J G,10,7,5,1,,,,,3,,26,
,,ET,75,4217,DAVIS J A,10,3,,,,,,,2,,15,
,,ET,88A,2355,FRIA C T,3,,,,,,,,,,3,
,,ET,90B,2359,FRIA C T,,,,,,,,1,,,1,
,,ET,91,2361,KLAUTKY E K,16,7,2,,,,,,3,,28,
,,ET,92,4218,KAROL-CROWTHER C I,17,4,,,,,,,6,,27,
,,,,,,,,,,,,,,Page 38 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Design,ET,ET,94,2362,BROWN S S,21,5,1,,,,,,1,,28,
Technology,,,,,,,,,,,,,,,,,
,,ET,96,4219,ROBINSON K C,17,3,,,,,,,2,,22,
,GR DES,GR DES 18,,3539,MASIHI K M,13,2,7,,,,,,1,,23,
,,,,3543,HILL R L,4,3,2,2,,1,,,3,,15,
,,,,3521,TANAKA BONITA R,12,4,,1,,,,1,3,,21,
,,,,2454,HILL R L,7,7,6,2,,,,,5,,27,
,,,,2453,ARMSTRONG R W,15,3,,1,,,,,5,,24,
,,,,2452,HILL R L,14,1,3,1,1,,,,5,,25,
,,,,4246,MACGILLIVRAY I J,8,11,3,1,,,,,,,23,
,,GR DES 31,,2455,WOOD S J,18,4,3,,,,,,2,,27,
,,,,2456,DONON S G,7,4,4,3,,,,,6,,24,
,,,,3595,WOOD S J,7,,2,1,,,,,6,,16,
,,,,4247,DONON S G,1,6,3,3,,,,1,6,,20,
,,,,4248,BADUEL Z M,7,4,3,2,,,,,4,,20,
,,GR DES 33,,4249,TURNER L J,12,6,3,1,,,,,2,,24,
,,,,2457,TURNER L J,13,3,2,2,,,,,4,,24,
,,GR DES 34,,2460,MAZZARA E,10,,3,4,,,,,1,,18,
,,,,2459,MAZZARA E,9,6,2,2,2,,,,1,,22,
,,,,2458,MAZZARA E,10,5,1,1,5,,,,3,,25,
,,GR DES 35,,2461,LANCASTER W F,16,3,4,2,,,,,3,,28,
,,,,2462,ROBINSON K C,5,4,3,3,,,,,7,,22,
,,GR DES 38,,2463,BADUEL Z M,6,7,2,5,,,,,3,,23,
,,,,4250,BADUEL Z M,6,6,1,6,,,,,4,,23,
,,GR DES 41,,2464,BADUEL Z M,6,7,3,1,1,,,,2,,20,
,,,,,,,,,,,,,,Page 39 of 119,,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Design,GR DES,GR DES 41,4251,BADUEL Z M,6,6,2,,,,,,,1,,15
Technology,,,,,,,,,,,,,,,,
,,GR DES 51,4252,LANCASTER W F,7,14,2,,2,,,,,,,25
,,GR DES 61,4253,VACARRA J W,16,4,,1,2,,,,,1,,24
,,GR DES 64,2466,DUGANNE J A,10,3,1,7,,,,,,7,,28
,,,4254,LANCASTER W F,10,8,,,1,,,,,5,,24
,,,2465,LANCASTER W F,18,2,2,,,,,,,4,,26
,,GR DES 65,2467,WANG J K,7,3,3,2,4,,,,,4,,23
,,,2468,MACGILLIVRAY I J,10,5,3,,,,,,,5,,23
,,,2469,TRIVIZA A,5,,3,2,2,,,,,5,,17
,,,2470,TRIVIZA A,9,5,2,,2,,,,,6,,24
,,GR DES 66,2471,CAVANAUGH J Y,9,5,2,,1,,,,,6,,23
,,,4255,CAVANAUGH J Y,4,2,2,1,2,,,,,5,,16
,,GR DES 67,4256,CAVANAUGH J Y,10,2,1,1,2,,,,,1,,17
,,GR DES 71,2472,HEATON W B,5,5,1,,2,,1,,,3,,17
,,,4257,ALEXOPOULOS T A,11,6,,,3,,,,,3,,23
,,GR DES 75,4259,FISCHER M I,7,4,2,1,1,,,,,4,,19
,,GR DES 90C,2476,CAVANAUGH J Y,,,,,,,,,3,,,3
,INTARC,INTARC 28A,4269,NOONAN I,15,3,,,,,,,,8,,26
,,,2568,JACOBS R E,10,4,2,1,4,,,,,3,,24
,,,2569,MAGNO H R,8,4,5,,2,,,,,6,,25
,,INTARC 28B,2570,CAMENETI M A,6,5,2,,4,,,,,2,,19
,,INTARC 29,2571,CORDOVA S A,12,7,,1,1,,,,,3,,24
,,INTARC 30,2572,HAO J Y,10,4,1,,2,,,,,5,,22
,,,4270,HAO J Y,4,9,3,1,3,,,,,5,,25
,,,,,,,,,,,,,,Page 40 of 119,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Design,INTARC,INTARC 31,,2573,HAO J Y,4,6,5,6,,,,,5,,26,
Technology,,,,,,,,,,,,,,,,,
,,INTARC 34,,2574,ADAIR J S,4,5,4,5,,,,,4,,22,
,,INTARC 34B,,2575,FRAULINO C,15,7,3,1,,,,,2,,28,
,,INTARC 35,,2577,ROSE M L,4,1,,1,,,,,6,,12,
,,,,2576,CORDOVA S A,12,3,2,2,,,,1,3,,23,
,,INTARC 36,,2578,GREGORY D K,5,2,5,2,4,,,,8,,26,
,,INTARC 37,,4271,DUNPHY B E,12,5,1,1,,,,,3,,22,
,,INTARC 38,,2579,TOOKE J L,7,9,,,,2,,,1,,19,
,,INTARC 40,,2580,HAO J Y,2,4,4,2,,,,,1,,13,
,,INTARC 41,,2581,NOONAN I,7,8,6,4,5,,,,3,,33,
,,INTARC 44,,3461,MAGNO H R,7,4,6,4,,,,,3,,24,
,,INTARC 45,,2582,HAO J Y,4,3,,,,,,,,,7,
,,INTARC 70,,4273,MARASSO L,8,3,,1,,,,,3,,15,
,,INTARC 90A,,2583,HAO J Y,,,,,,,,1,,,1,
Disabled,COUNS,COUNS,12H,1607,LOR P,11,2,1,1,,,,,2,,17,
Students Center,,,,,,,,,,,,,,,,,
,,COUNS,13H,1608,RABINOW-PALLEY L,6,,,,,,,,1,,7,
,,COUNS,15H,1610,GALBRAITH K M,7,1,1,2,5,,,,16,,32,
,,COUNS,21H,1673,CUTLER E J,,,,,3,,,6,3,,12,
,,COUNS,22H,1674,CUTLER E J,,,,,,,,,1,,1,
,,COUNS,25H,1675,CUTLER E J,,,,,,,,2,,,2,
,,COUNS,26,1676,CUTLER E J,,,,,,,,2,,,2,
,,COUNS,41H,1677,EVANS JAMI R,5,1,,,,,,,,,6,
,,COUNS,51,1680,JOHNSON A H,,,,,,,1,11,,,12,
,,,,,,,,,,,,,,Page 41 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Disabled,COUNS,COUNS,52,1681,JOHNSON A H,,,,,,,1,8,1,,10,
Students Center,,,,,,,,,,,,,,,,,
,,COUNS,54,1682,AXELROD L,,,,,,,,12,2,,14,
,,COUNS,56,1683,AXELROD L,,,,,,,1,8,5,,14,
,,COUNS,57,1684,TERUYA S,,,,,,,1,13,1,,15,
,,COUNS,58,1685,MARCOPULOS G E,,,,,,,,7,2,,9,
,,,,1686,MARCOPULOS G E,,,,,,,,5,2,,7,
,,COUNS,59,1687,JOHNSON A H,,,,,,,,6,,,6,
Earth Science,ANTHRO,ANTHRO,1,1099,HARADON C M,15,6,5,3,6,,,,6,,41,
,,,,4017,HARADON C M,8,9,7,3,5,,,,10,,42,
,,,,1104,BREWSTER C P,6,10,8,4,6,,,,7,,41,
,,,,1103,BREWSTER C P,3,4,10,3,3,,,,8,,31,
,,,,1102,BREWSTER C P,6,2,8,7,,,,,18,,41,
,,,,1100,LEWIS B S,3,4,11,7,4,,,,14,,43,
,,,,1101,LEWIS B S,5,8,14,6,3,,,,9,,45,
,,ANTHRO,2,1109,GREBLER G,29,9,,4,2,,,,4,,48,
,,,,4020,ZANE W W,6,9,6,5,1,,,,9,,36,
,,,,4018,DENMAN J F,12,7,15,2,,1,,2,8,,47,
,,,,1107,MINZENBERG E G,12,18,5,1,,,,,9,,45,
,,,,1106,DENMAN J F,10,8,14,4,1,4,,,9,,50,
,,,,1105,MINZENBERG E G,8,7,9,6,,,,1,8,,39,
,,,,4019,DALLA DEA A L,7,10,3,3,7,,,,7,,37,
,,,,1108,DENMAN J F,10,15,16,2,1,1,,,3,,48,
,,ANTHRO,3,1110,LEWIS B S,3,3,5,4,5,1,,,16,,37,
,,,,1111,LEWIS B S,3,7,11,4,4,1,,,9,,39,
,,,,,,,,,,,,,,Page 42 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Earth Science,ANTHRO,ANTHRO,3,4021,LEWIS B S,2,10,1,5,10,,,,10,,38,
,,ANTHRO,4,1112,LEWIS B S,2,7,7,6,4,2,,,11,,39,
,,ANTHRO,5,1113,RASHIDI J S,8,7,6,2,5,,1,,4,,33,
,,,,4022,GAULD S C,6,10,6,2,2,,,,2,,28,
,,,,1114,BREWSTER C P,10,3,8,5,3,,,,2,,31,
,,,,1115,GAULD S C,4,6,8,2,2,,,1,7,,30,
,,ANTHRO,7,4023,COHEN M M,12,6,3,2,6,,,,12,,41,
,,ANTHRO,9,1116,HARADON C M,8,8,2,2,6,,,,3,,29,
,,ANTHRO 10,,1117,RASHIDI J S,4,9,3,1,8,,,1,9,,35,
,,ANTHRO 14,,1118,MINZENBERG E G,11,14,6,7,4,,,,7,,49,
,,,,1119,ZANE W W,7,12,9,6,4,,,,8,,46,
,,ANTHRO 19,,1120,MINZENBERG E G,15,7,8,2,7,,,,7,,46,
,,ANTHRO 21,,1121,MINZENBERG E G,9,7,8,3,11,1,,,4,,43,
,,ANTHRO 22,,1122,ZANE W W,7,6,10,6,6,,,,9,,44,
,ASTRON,ASTRON,1,1188,BALM S P,11,9,2,,2,,,,2,,26,
,,,,1189,SALAMA A H,2,6,13,6,1,,,1,9,,38,
,,,,1190,BALM S P,7,16,12,3,5,,,3,3,,49,
,,,,1191,BALM S P,8,17,13,2,2,,,,4,,46,
,,,,1192,BALM S P,11,17,11,,1,,,,4,,44,
,,,,4047,SCHWARTZ M J,5,15,12,,,,,,10,,42,
,,ASTRON,2,4049,SCHWARTZ M J,8,13,2,,2,,,,6,,31,
,,,,1193,BALM S P,7,24,16,2,2,,,,,,51,
,,,,4048,SALAMA A H,4,11,13,1,,,,1,4,,34,
,,ASTRON,3,1194,FOUTS G A,6,8,10,1,,,,,6,,31,
,,,,1195,FOUTS G A,2,8,6,5,1,,,,8,,30,
,,,,,,,,,,,,,,Page 43 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Earth Science,ASTRON,ASTRON,4,1196,FOUTS G A,10,4,8,3,3,,,,5,,33,
,,,,4050,SCHWARTZ M J,12,8,8,1,,,,,5,,34,
,,ASTRON,5,4051,SCHWARTZ M J,6,12,5,,3,1,,,10,,37,
,,,,4052,BALM S P,8,17,15,1,1,,,,7,,49,
,,ASTRON,6,1197,FOUTS G A,11,20,2,1,2,,,,4,,40,
,,ASTRON,7,4053,BALM S P,7,10,6,2,1,,,1,5,,32,
,,ASTRON,8,4054,SCHWARTZ M J,7,5,4,1,,,,,11,,28,
,ENERGY,ENERGY,1,1859,COOLEY S,7,10,3,,,,,,1,,21,
,,ENERGY,2,1860,COOLEY S,9,3,2,1,6,,,,3,,24,
,ENVRN,ENVRN,7,4486,RITZ T M,14,9,6,2,4,,,,1,,36,
,ERTHSC,ERTHSC 88A,,2226,DRAKE V G,1,,,,,,,,,,1,
,,,,2227,DRAKE V G,1,,,,,,,,,,1,
,,ERTHSC 88B,,2228,DRAKE V G,1,,,,,,,,,,1,
,,ERTHSC 90C,,2233,DRAKE V G,1,,,,,,,,,,1,
,GEOG,GEOG,1,2417,LIU J,9,14,3,2,2,,1,,5,,36,
,,,,2415,LIU J,6,9,4,1,6,,,,4,,30,
